constant_name,definition
A claim must be selected to enable this menu.,Duhet të zgjidhet një kërkesë për të aktivizuar këtë meny.
A Clinical Decision Rule is patient specific information that is filtered and presented at appropriate times to enhance health and health care,Një Rregull i Vendimit Klinik është informacion specifik i pacientit që filtrohet dhe paraqitet në kohën e duhur për të përmirësuar shëndetin dhe kujdesin shëndetësor
"A dated reminder message can be either forwarded by clicking the Forward button or removed from the dated reminders list by clicking on the Set As Completed button","Një mesazh kujtese me datë mund të përcillet duke klikuar butonin Përcill ose të hiqet nga lista e kujtesave me datë duke klikuar butonin Shëno Si Të Përfunduar"
A dedicated security key needs to be purchased,Duhet të blihet një çelës i dedikuar sigurie
A default code is optional as the needed code can be entered at the time of placing the actual order,Një kod i paracaktuar është opsional pasi kodi i nevojshëm mund të futet në momentin e vendosjes së porosisë aktuale
A detailed guide on how to enable and setup a Clinical Decision rule is found here,Një udhëzues i detajuar se si të aktivizoni dhe konfiguroni një Rregull të Vendimit Klinik gjendet këtu
A due date can be specified or a specific time period can be chosen for the dated reminder to to show up,Mund të specifikohet një datë afati ose mund të zgjidhet një periudhë kohore specifike që kujtesa me datë të shfaqet
A few words to indicate the reason for the visit,Disa fjalë për të treguar arsyen e vizitës
A followup appointment can also be scheduled right from the fee sheet.,Një takim kontrolli mund të caktohet gjithashtu direkt nga fleta e tarifave.
"A HL7 v2.x message simply consists of several lines of text, each line is called a segment and is further divided into fields by using the pipe (|) character","Një mesazh HL7 v2.x përbëhet thjesht nga disa rreshta teksti, çdo rresht quhet segment dhe ndahet më tej në fusha duke përdorur karakterin pipe (|)"
"A large application like openEMR is used by a multitude of users with varying roles and degrees of responsibility. It is imperative that access to various parts of the program be granted to users on a need to know basis. To achieve this - Access Control Lists (ACL) are used.","Një aplikacion i madh si openEMR përdoret nga një shumëllojshmëri përdoruesish me role dhe shkallë përgjegjësie të ndryshme. Është e domosdoshme që qasja në pjesë të ndryshme të programit t'u jepet përdoruesve sipas nevojës. Për ta arritur këtë - përdoren Listat e Kontrollit të Qasjes (ACL)."
A New Appointment,Një Takim i Ri
A new feature helps to group frequently ordered tests so that they can be ordered together,Një veçori e re ndihmon për të grupuar analizat e porositura shpesh në mënyrë që të mund të porositen së bashku
"A new message can thus be sent to a single or multiple users and/or can be about a single or multiple patients","Një mesazh i ri mund t'i dërgohet kështu një ose disa përdoruesve dhe/ose mund të jetë për një ose disa pacientë"
A new patients credentials could not be sent after portal registration.,Kredencialet e pacientit të ri nuk mund të dërgoheshin pas regjistrimit në portal.
A new tab sub menu will be visible at the top of the Message center page,Një nën-meny e re me skedë do të jetë e dukshme në krye të faqes së Qendrës së Mesazheve
A Payment is Required!. Please input a payment line item entry.,Një Pagesë Kërkohet!. Ju lutem vendosni një zë pagese.
"A place to document and display the patient's past medical history, family history, personal history","Një vend për të dokumentuar dhe shfaqur historinë mjekësore të kaluar të pacientit, historinë familjare, historinë personale"
A popup box will alert you about success or failure,Një dritare kërcyese do t'ju njoftojë për suksesin ose dështimin
A product was selected but there is no product section in this form.,U zgjodh një produkt por nuk ka seksion produkti në këtë formular.
"A provider or warehouse can be selected in the dropwdown box. For this option to be displayed 'Support provider in line item in fee sheet' box must be checked in Administration > Globals> Billing page","Një ofrues ose magazinë mund të zgjidhet në kutinë rënëse. Që ky opsion të shfaqet, kutia 'Mbështet ofruesin në zërin e fletës së tarifave' duhet të jetë e zgjedhur në Administrim > Globale > faqja e Faturimit"
A quantity is required,Kërkohet një sasi
A Recurring Appointment. Please contact your appointment desk for any changes.,Një Takim i Përsëritur. Ju lutem kontaktoni sportelin e takimeve për çdo ndryshim.
