constant_name,definition
"Box 18 - The ""Hospitalization Dates Related to Current Services"" would refer to an inpatient stay and indicates the admission and discharge dates associated with the service(s) on the claim","Kutia 18 - ""Datat e Hospitalizimit të Lidhura me Shërbimet Aktuale"" i referohet një qëndrimi spitalor dhe tregon datat e pranimit dhe daljes të lidhura me shërbimin(et) në kërkesën për rimbursim"
Box 18. Hospitalization date from,Kutia 18. Data e hospitalizimit nga
BOX 18. Hospitalization date from,KUTIA 18. Data e hospitalizimit nga
Box 18. Hospitalization date from:,Kutia 18. Data e hospitalizimit nga:
Box 18. Hospitalization date to,Kutia 18. Data e hospitalizimit deri
BOX 18. Hospitalization date to,KUTIA 18. Data e hospitalizimit deri
Box 18. Hospitalization date to:,Kutia 18. Data e hospitalizimit deri:
"Box 20 - Indicates that services have been rendered by an independent provider as indicated in Box 32 (Service Facility Location Information) and the related costs","Kutia 20 - Tregon që shërbimet janë kryer nga një ofrues i pavarur siç tregohet në Kutinë 32 (Informacioni i Vendndodhjes së Objektit të Shërbimit) dhe kostot përkatëse"
Box 20. Is Outside Lab used?,Kutia 20. A është përdorur Laborator i Jashtëm?
"Box 22 - Medicaid Resubmission Code and Original Reference Number is the code and original reference number assigned by the destination payer or receiver to indicate a previously submitted claim or encounter","Kutia 22 - Kodi i Ridërgimit Medicaid dhe Numri Origjinal i Referencës është kodi dhe numri origjinal i referencës i caktuar nga paguesi ose marrësi i destinacionit për të treguar një kërkesë ose vizitë të dorëzuar më parë"
Box 22. Medicaid Resubmission Code (ICD-10),Kutia 22. Kodi i Ridërgimit Medicaid (ICD-10)
"Box 22. Medicaid Resubmission Code (ICD-9) ",Kutia 22. Kodi i Ridërgimit Medicaid (ICD-9)
"Box 23 - Prior Authorization Number is the payer assigned number authorizing the service(s)","Kutia 23 - Numri i Autorizimit Paraprak është numri i caktuar nga paguesi që autorizon shërbimin(et)"
Box 23. Prior Authorization No.,Kutia 23. Nr. i Autorizimit Paraprak
"Box 23. Prior Authorization No. ",Kutia 23. Nr. i Autorizimit Paraprak
BPD-D{{abbreviation for Binocular Pupillary Diameter - Distance}},BPD-D{{shkurtim për Diametrin Pupilar Binokular - Distanca}}
BPD-N{{abbreviation for Binocular Pupillary Diameter - Near}},BPD-N{{shkurtim për Diametrin Pupilar Binokular - Afër}}
Brand,Marka
Brand Name,Emri i Markës
Brightness Acuity Testing,Testimi i Mprehtësisë së Ndriçimit
Brother,Vëlla
Brow,Vetulla
"Build diagnoses list by clicking appropriate code button.","Ndërtoni listën e diagnozave duke klikuar butonin përkatës të kodit."
Build Your Plan,Ndërtoni Planin Tuaj
Business Associate Agreement,Marrëveshja e Bashkëpunëtorit të Biznesit
but Needs Review,por Ka Nevojë për Rishikim
"button to clear Location selections, ""Send"" button to send templates to patient(s) or profiles","butoni për të pastruar zgjedhjet e Vendndodhjes, butoni ""Dërgo"" për të dërguar shabllone te pacienti(ët) ose profilet"
By default Active Messages are displayed as indicated in the section below the Messages caption,Si parazgjedhje Mesazhet Aktive shfaqen siç tregohet në seksionin poshtë titullit Mesazhet
"By default all codes are selected, uncheck the codes you do not want and click 'Add'. These codes will then be added to the current encounter","Si parazgjedhje të gjitha kodet janë të zgjedhura, hiqni zgjedhjen e kodeve që nuk dëshironi dhe klikoni 'Shto'. Këto kode do të shtohen më pas te vizita aktuale"
By default only Demographics and Billing information is selected,Si parazgjedhje vetëm informacioni Demografik dhe i Faturimit është i zgjedhur
By default only five dated reminders are shown at a time,Si parazgjedhje vetëm pesë kujtesa me datë shfaqen njëkohësisht
"By default the User Memberships section is selected and all the active registered users will be listed in alphabetical order by their user names.","Si parazgjedhje seksioni i Anëtarësive të Përdoruesit është i zgjedhur dhe të gjithë përdoruesit aktivë të regjistruar do të renditen sipas rendit alfabetik të emrave të tyre."
"By selecting a payment method the rates calculated for that payment method will be automatically displayed in 'Selected Fee Sheet Codes and Charges for Current Encounter' section","Duke zgjedhur një metodë pagese tarifat e llogaritura për atë metodë pagese do të shfaqen automatikisht në seksionin 'Kodet e Zgjedhura të Fletës së Tarifave dhe Ngarkesat për Vizitën Aktuale'"
by{{made by/manufacturer}},nga{{prodhuar nga/prodhuesi}}
B{{both sides}},B{{të dyja anët}}
C/D Ratio{{cup to disc ration}},Raporti C/D{{raporti kupë ndaj diskut}}
C3 statistical reports.,Raporte statistikore C3.
C3 Statistics Reporting,Raportimi Statistikor C3
Caffeine,Kafeina
Calendar Settings (calendar),Cilësimet e Kalendarit (kalendari)
calendar_external to events,calendar_external te ngjarjet
Call Back Notes,Shënime për Rikthimin e Telefonatës
Callback,Rikthim Telefonate
Callback Performed,Rikthimi i Telefonatës u Krye
Callback requested,Rikthim Telefonate i Kërkuar
Can not determine OS!,Nuk mund të përcaktohet Sistemi Operativ!
Can not find where to insert.,Nuk gjendet ku të futet.
cancel,anulo
Cancel Appointment,Anulo Takimin
Cancel Payment,Anulo Pagesën
Cancel/Exit,Anulo/Dil
Canceled < 24h,Anuluar < 24h
Cancelled,Anuluar
Cannot add to archive,Nuk mund të shtohet në arkiv
"Cannot be used in case of the absence of the cellular coverage",Nuk mund të përdoret në mungesë të mbulimit celular
"Cannot close because there are charges. Check out instead.",Nuk mund të mbyllet sepse ka ngarkesa. Bëni arkëtimin në vend.
Cannot open,Nuk mund të hapet
Card CVV,CVV i Kartës
Card Expiry Date,Data e Skadimit të Kartës
"Card Expiry Date and Card Holders Zip",Data e Skadimit të Kartës dhe Kodi Postar i Mbajtësit
Card Holder Zip,Kodi Postar i Mbajtësit të Kartës
Card Name,Emri i Kartës
Card Number,Numri i Kartës
Card Type,Lloji i Kartës
Cardiac,Kardiak
Care Coordination Only,Vetëm Koordinim i Kujdesit
Care documentation,Dokumentimi i kujdesit
Care giver,Kujdestar
Care plan recommendations,Rekomandimet e planit të kujdesit
"Careful planning is essential before entering the tests to ensure subsequent ease of use and proper display of results","Planifikimi i kujdesshëm është thelbësor para futjes së testeve për të siguruar lehtësinë e përdorimit të mëpasshëm dhe shfaqjen e duhur të rezultateve"
Carotid Bruit,Murmurimë Karotide
Carotid{{carotid arteries}},Karotide{{arteriet karotide}}
CAR{{carotid arteries}},CAR{{arteriet karotide}}
Cataract,Katarakt
"Category - Order, Result and Recommendation need an identifying code","Kategoria - Porosia, Rezultati dhe Rekomandimi kanë nevojë për një kod identifikues"
Category changed.,Kategoria u ndryshua.
Category Color Schema,Skema e Ngjyrave të Kategorisë
cc Distance{{with correction at distance}},cc Distancë{{me korrigjim në distancë}}
cc Near{{with correction at Near}},cc Afër{{me korrigjim Afër}}
CCDA or QRDA Cat I,CCDA ose QRDA Kat I
ccDist{{ACT with Correction Distance}},ccDist{{ACT me Korrigjim Distancë}}
ccDist{{with correction distance}},ccDist{{me korrigjim distancë}}
ccNear{{ACT with Correction Near}},ccNear{{ACT me Korrigjim Afër}}
ccNear{{with correction at near}},ccNear{{me korrigjim afër}}
CC{{Chief Complaint}},CC{{Ankesa Kryesore}}
cc{{with correction}},cc{{me korrigjim}}
CC{{with correction}},CC{{me korrigjim}}
"CDA defines building blocks which can be used to contain healthcare data elements that can be captured, stored, accessed, displayed and transmitted electronically for use and reuse in many formats","CDA përcakton blloqe ndërtimore që mund të përdoren për të përmbajtur elementë të dhënash shëndetësore që mund të kapen, ruhen, aksesohen, shfaqen dhe transmetohen elektronikisht për përdorim dhe ripërdorim në shumë formate"
CDA or Clinical Document Architecture is a document standard developed by the HL7 organization,CDA ose Arkitektura e Dokumentit Klinik është një standard dokumenti i zhvilluar nga organizata HL7
CDC-NIP Code,Kodi CDC-NIP
Centered Layout,Paraqitja e Përqendruar
Central Macular Thickness,Trashësia Qendrore Makulare
Cervical Cancer Reporting,Raportimi i Kancerit Cervikal
Cervical cancer statistical reports.,Raporte statistikore të kancerit cervikal.
