constant_name,definition
Click to start or end sql server activity checks.,Klikoni për të nisur ose ndaluar kontrollet e aktivitetit të serverit sql.
Click to use procedure code from code popup,Klikoni për të përdorur kodin e procedurës nga dritarja e kodit
Click to view Help,Klikoni për të parë Ndihmën
Click to view.,Klikoni për të parë.
"Click Update List to display billing information filtered by the selected Current Criteria","Klikoni Përditëso Listën për të shfaqur informacionin e faturimit të filtruar sipas Kritereve Aktuale të zgjedhura"
click View Log and review for errors.,klikoni Shiko Regjistrin dhe rishikoni për gabime.
"Clicking on 'Review' will list all the codes entered for previous encounters","Klikimi mbi 'Rishiko' do të listojë të gjitha kodet e futura për vizitat e mëparshme"
"Clicking on either the Enter Name or Enter ID tab will bring up the search box which you can use to select a patient","Klikimi mbi skedën Fut Emrin ose Fut ID-në do të hapë kutinë e kërkimit që mund ta përdorni për të zgjedhur një pacient"
Clicking on Set As Completed will remove the reminder from the active display,Klikimi mbi Vendos Si Përfunduar do ta heqë kujtesën nga shfaqja aktive
Clicking on the + button on the patient header panel opens the New Encounter Form,Klikimi mbi butonin + në panelin e kokës së pacientit hap Formularin e Vizitës së Re
Clicking on the Add Issue button brings up the add issue pop-up box,Klikimi mbi butonin Shto Çështje hap kutinë pop-up të shtimit të çështjes
"Clicking on the Coding cell will bring up the Educational materials pop-up that will let you search by ICD10 code","Klikimi mbi qelizën e Kodimit do të hapë dritaren pop-up të Materialeve Edukative që ju lejon të kërkoni sipas kodit ICD10"
Clicking on the Create A Dated Reminder button will bring up the Send a Reminder popup,Klikimi mbi butonin Krijo Një Kujtesë me Datë do të hapë dritaren pop-up Dërgo një Kujtesë
"Clicking on the Create Online/Offsite Portal Credentials button will generate a username and password for the patient that has to be given to the patient","Klikimi mbi butonin Krijo Kredencialet e Portalit Online/Jashtë Vendit do të gjenerojë një emër përdoruesi dhe fjalëkalim për pacientin që duhet t'i jepet pacientit"
Clicking on the Delete button will delete the message,Klikimi mbi butonin Fshi do të fshijë mesazhin
"Clicking on the first cell under Title will bring up the Add/Edit Issue pop-up page that will let you edit this entry","Klikimi mbi qelizën e parë nën Titull do të hapë faqen pop-up Shto/Ndrysho Çështje që ju lejon të ndryshoni këtë hyrje"
Clicking on the icon next to the caption will display everyone's messages and the caption will change to All Messages,Klikimi mbi ikonën pranë titullit do të shfaqë mesazhet e të gjithëve dhe titulli do të ndryshojë në Të Gjitha Mesazhet
"Clicking on the icon next to their name will bring up the 'Edit' window.","Klikimi mbi ikonën pranë emrit të tyre do të hapë dritaren 'Ndrysho'."
"Clicking on the Miscellaneous > MFA Management menu item or User Name > MFA Management menu item brings you to the landing page for managing the multi factor authentication page for that user","Klikimi mbi artikullin e menysë Të Ndryshme > Menaxhimi MFA ose Emri i Përdoruesit > Menaxhimi MFA ju çon në faqen kryesore për menaxhimin e faqes së vërtetimit me shumë faktorë për atë përdorues"
Clicking on the patient's name will reveal the message,Klikimi mbi emrin e pacientit do të zbulojë mesazhin
"Clicking on the pencil icon will enter the Edit mode and will display the Enter Details pop-up window that was used to create the entry displayed on this line","Klikimi mbi ikonën e lapsit do të hyjë në modalitetin Ndrysho dhe do të shfaqë dritaren pop-up Fut Detajet që u përdor për të krijuar hyrjen e shfaqur në këtë rresht"
Clicking on the Show All or Show Inactive buttons will show the appropriate messages,Klikimi mbi butonat Shfaq Të Gjitha ose Shfaq Joaktive do të shfaqë mesazhet e duhura
Clicking on the slashed eye icon will hide the filters,Klikimi mbi ikonën e syrit të prerë do të fshehë filtrat
Clicking on the View Log button will bring up the Dated Message Log popup,Klikimi mbi butonin Shiko Regjistrin do të hapë dritaren pop-up të Regjistrit të Mesazheve me Datë
"Clicking Options will present a multiselection drop menu to add behaviors to the selected data type. Typing after pull down activates allows search in options.","Klikimi i Opsioneve do të paraqesë një menu me shumëzgjedhje për të shtuar sjellje në tipin e të dhënave të zgjedhura. Shtypja pas hapjes aktivizon kërkimin në opsione."
"Clicking the button will reveal a popup that will list the E/M codes, check the appropriate code and click 'OK'","Klikimi i butonit do të zbulojë një dritare pop-up që do të listojë kodet E/M, zgjidhni kodin e duhur dhe klikoni 'OK'"
Clicking the Transmit button will open up a text box where the Direct address of the recipient needs to be entered,Klikimi i butonit Transmeto do të hapë një kuti teksti ku duhet të futet adresa Direkte e marrësit
Client APP ID:,ID e Aplikacionit të Klientit:
Client certificate passphrase,Fraza e kalimit të certifikatës së klientit
Client failed to save. Check system logs,Klienti dështoi të ruhet. Kontrolloni regjistrat e sistemit
Client List of IVE Activity,Lista e Klientit e Aktivitetit IVE
Client Name / Client ID,Emri i Klientit / ID e Klientit
Client Receipt,Fatura e Klientit
Client Registrations,Regjistrimet e Klientit
Client Secret APP ID:,ID Sekrete e Aplikacionit të Klientit:
Client Type,Lloji i Klientit
"Clinical documents are produced by arranging or limiting CDA elements in defined ways using templates and Implementation Guides (IG)","Dokumentet klinike prodhohen duke rregulluar ose kufizuar elementet CDA në mënyra të përcaktuara duke përdorur shabllone dhe Udhëzues Zbatimi (IG)"
Clinical Instructions,Udhëzime Klinike
Clinical Notes Form,Formulari i Shënimeve Klinike
Clinical Reminders - is a widget that displays the Passive Alerts for a Clinical Decision Rule,Kujtesat Klinike - është një miniaplikacion që shfaq Njoftimet Pasive për një Rregull Vendimmarrjeje Klinike
"Clinical Reminders/Alerts (write,addonly optional)","Kujtesat/Njoftimet Klinike (shkruaj,vetëm shto opsionale)"
