constant_name,definition
Dashboard{{patient file}},Paneli{{dosja e pacientit}}
Data Section,Seksioni i të Dhënave
Database and Access Control upgrade finished.,Përditësimi i bazës së të dhënave dhe kontrollit të aksesit përfundoi.
Database name,Emri i bazës së të dhënave
Database Reporting (database),Raportimi i Bazës së të Dhënave (database)
date,data
Date format for "seen before" is not valid,Formati i datës për "parë më parë" nuk është i vlefshëm
Date of appointments,Data e takimeve
Date of appointments mm/dd/yyyy,Data e takimeve mm/dd/yyyy
Date of Birth and Age,Data e Lindjes dhe Mosha
Date of Birth Missing,Data e Lindjes Mungon
Date of exit,Data e daljes
Date of onset or hospitalization,Data e fillimit ose hospitalizimit
"Date of onset, surgery or start of medication","Data e fillimit, operacionit ose fillimit të medikamentit"
Date of recovery or end of medication,Data e shërimit ose përfundimit të medikamentit
Date of registration,Data e regjistrimit
Date of service,Data e shërbimit
"Date of Service is today's date by default. If needed it can be changed to any valid date","Data e Shërbimit është data e sotme si parazgjedhje. Nëse nevojitet, mund të ndryshohet në çdo datë të vlefshme"
Date of this letter,Data e kësaj letre
Date of VIS Statement,Data e Deklaratës VIS
Date Registered,Data e Regjistrimit
Date Updated,Data e Përditësimit
Date VIS Presented,Data e Paraqitjes VIS
Date VIS Published,Data e Publikimit VIS
Dated,Me datë
dated,me datë
Dated Reminders,Kujtesa me Datë
Dated reminders maximum alerts to show,Numri maksimal i alarmeve të kujtesave me datë për t'u shfaqur
day ago,ditë më parë
days of each other,ditë nga njëri-tjetri
Days Of Week,Ditët e Javës
DEA,DEA
DEA Number,Numri DEA
DEA number,Numri DEA
Deactivated,Çaktivizuar
Deadline (CST),Afati (CST)
Debt,Borxhi
Debug Error Logging,Regjistrimi i Gabimeve të Debug-ut
Debug Hash Verification Time,Koha e Verifikimit të Hash-it të Debug-ut
Deceased,I/E ndjerë
DECEASED (1 day ago),I/E NDJERË (1 ditë më parë)
DECEASED (Today),I/E NDJERË (Sot)
Deceased Date,Data e Vdekjes
Deceased Date should not be greater than Today,Data e Vdekjes nuk duhet të jetë më e madhe se Sot
DECEASED NOTIFICATION,NJOFTIMI I VDEKJES
Deceased Reason,Arsyeja e Vdekjes
"Decide on the code categories and the order you want them to appear, these will be displayed on the buttons in the 'Select Codes' section","Vendosni për kategoritë e kodeve dhe rendin që dëshironi të shfaqen, këto do të shfaqen në butonat në seksionin 'Zgjidh Kodet'"
"Decide on the Identifying Codes and Standard Codes, remember the Identifying code has to be unique to ensure proper display of results","Vendosni për Kodet Identifikuese dhe Kodet Standarde, mbani mend se kodi identifikues duhet të jetë unik për të siguruar shfaqjen e duhur të rezultateve"
