constant_name,definition
Enter defaults values for OS{{left eye}},Vendos vlerat e paracaktuara per OS{{left eye}}
Enter Details,Vendos Detajet
Enter Details for Custom Favorite Group,Vendos Detajet per Grupin e Personalizuar te Preferuar
Enter Details for Discrete Results,Vendos Detajet per Rezultatet Diskrete
Enter Details for Group,Vendos Detajet per Grupin
Enter Details for Individual Custom Favorite Item,Vendos Detajet per Elementin Individual te Preferuar te Personalizuar
Enter Details for Individual Procedures,Vendos Detajet per Procedurat Individuale
Enter Details for Recommendation,Vendos Detajet per Rekomandimin
Enter E-Mail Address,Vendos Adresen E-Mail
Enter email address to receive registration.,Vendos adresen e email per te marre regjistrimin.
Enter Encounter,Vendos Viziten
Enter Encounter Number,Vendos Numrin e Vizites
Enter Facility Name,Vendos Emrin e Institucionit
Enter Gift Card number in the Reference field,Vendos numrin e Kartes se Dhurates ne fushen e References
Enter ID,Vendos ID
Enter Key,Vendos Celesin
Enter Last,Vendos te Fundit
Enter name,Vendos emrin
"Enter needed information to help process this particular claim",Vendos informacionin e nevojshem per te ndihmuar ne perpunimin e kesaj kerkese
Enter new data,Vendos te dhena te reja
Enter new office note here,Vendos shenimin e ri te zyres ketu
Enter new State,Vendos Gjendjen e re
"Enter Occurrence if appropriate",Vendos Ndodhinё nese eshte e pershtatshme
"Enter or select the options in the various boxes to filter the results according to need and press Filter","Vendos ose zgjidh opsionet ne kutite e ndryshme per te filtruar rezultatet sipas nevajes dhe shtyp Filtro"
Enter Password,Vendos Fjalekalimin
Enter PIN code,Vendos kodin PIN
Enter Provider Details,Vendos Detajet e Ofruesit
Enter Recipient's Direct Address,Vendos Adresen Direkte te Marresit
Enter required authentication code,Vendos kodin e kerkuar te verifikimit
Enter Self if None,Vendos Veten nese Asnje
Enter Serum Uric Acid in the Name box,Vendos Acidin Urik te Serumit ne kutine e Emrit
Enter Serum Uric Acid order in the Description box,Vendos porosine e Acidit Urik te Serumit ne kutine e Pershkrimit
Enter Serum Uric Acid result under Description,Vendos rezultatin e Acidit Urik te Serumit nen Pershkrimin
Enter Serum Uric Acid under Name,Vendos Acidin Urik te Serumit nen Emrin
"Enter the category data in the appropriate fields and click 'Save'. These will be used to group the ICD codes and will be displayed on the buttons in the 'Select Codes' section","Vendos te dhenat e kategorise ne fushat perkatese dhe kliko 'Ruaj'. Keto do te perdoren per te grupuar kodet ICD dhe do te shfaqen ne butonat ne seksionin 'Zgjidh Kodet'"
Enter the code from your authentication application on your device,Vendos kodin nga aplikacioni i verifikimit ne pajisjen tuaj
"Enter the default range values if applicable, used in manual entry of results.","Vendos vlerat e paracaktuara te diapazonit nese eshte e aplikueshme, te perdorura ne futjen manuale te rezultateve."
Enter the default units for this test.,Vendos njesite e paracaktuara per kete test.
"Enter the details - Name - Well Woman Tests, Description - Well Woman Tests, an appropriate sequence number depending on the procedure orders already entered, Order From - Local Lab","Vendos detajet - Emri - Testet e Shendetit te Gruas, Pershkrimi - Testet e Shendetit te Gruas, nje numer sekuence te pershtatshme ne varesi te porosive te procedurave te vendosura me pare, Porosite Nga - Laboratori Lokal"
"Enter the details as follows Name - Blood Glucose, Description - Fasting Glucose result, Sequence - 1, Identifying Code - any unique value - WWT01R, Default Units - mg/dL, Default Range - 70-100, leave Followup Services blank and click Save","Vendos detajet si me poshte Emri - Glukoza ne Gjak, Pershkrimi - Rezultati i Glukozes ne Agjerim, Sekuenca - 1, Kodi Identifikues - cdo vlere unike - WWT01R, Njesite e Paracaktuara - mg/dL, Diapazoni i Paracaktuar - 70-100, le Sherbimet Pasuese bosh dhe kliko Ruaj"
Enter the Direct address and click Send CCR/Send CCD as the case may be,Vendos adresen Direkte dhe kliko Dergo CCR/Dergo CCD sipas rastit
"Enter the following: Name - Blood Glucose, Description - Fasting Blood Glucose, Sequence - 1, Order From - Local Lab","Vendos sa me poshte: Emri - Glukoza ne Gjak, Pershkrimi - Glukoza ne Gjak ne Agjerim, Sekuenca - 1, Porosite Nga - Laboratori Lokal"
"Enter the laterality of this procedure, if applicable.","Vendos lateralitetin e kesaj procedure, nese eshte e aplikueshme."
Enter the Logical Observation Identifiers Names and Codes (LOINC) code for this procedure,Vendos kodin e Emrave dhe Kodeve te Identifikuesve te Vezhgimit Logjik (LOINC) per kete procedure
"Enter the Logical Observation Identifiers Names and Codes (LOINC) code for this procedure. LOINC is a database and universal standard for identifying medical laboratory observations.",Vendos kodin LOINC per kete procedure. LOINC eshte nje baze te dhenash dhe standard universal per identifikimin e vezhgimeve te laboratorit mjekesor.
Enter the LOINC code for this procedure,Vendos kodin LOINC per kete procedure
Enter the OpenEMR login password for the user and click Submit,Vendos fjalekalimin e hyrjes ne OpenEMR per perdoruesin dhe kliko Dergo
Enter the Re Identification code,Vendos kodin e Ri-Identifikimit
"Enter the relevant site if applicable.",Vendos faqen perkatese nese eshte e aplikueshme.
"Enter the Server Address, Username, and Password provided to you","Vendos Adresen e Serverit, Emrin e Perdoruesit dhe Fjalekalimin e dhene per ju"
Enter the Severity of the allergy,Vendos Ashpersine e alergjise
Enter the specimen type if applicable.,Vendos llojin e specimens nese eshte e aplikueshme.
"Enter the values 3.4 - 7.2 - Men, 2.4–6.1 - Women","Vendos vlerat 3.4 - 7.2 - Burra, 2.4–6.1 - Gra"
Enter their OpenEMR username in the notification user field,Vendos emrin e perdoruesit OpenEMR ne fushen e perdoruesit te njoftimeve
Enter User Login ID,Vendos ID e Hyrjes se Perdoruesit
Enter values in this section to create a new group also known as Access Request Object (ARO),Vendos vlera ne kete seksion per te krijuar nje grup te ri i njohur edhe si Objekti i Kerkeses se Aksesit (ARO)
