constant_name,definition
HEENT,HEENT
Help content goes here,Përmbajtja e ndihmës shkon këtu
Hematemesis,Hematemezë
Hematochezia,Hematokezi
Hematologic,Hematologjik
Hematuria,Hematuri
Hemoglobin,Hemoglobinë
Hemoglobin A1C,Hemoglobinë A1C
Hemoptysis,Hemoptizë
here,këtu
Here is what we do know.,Ja çfarë dimë.
Here you can customize the ACL further.,Këtu mund ta personalizoni më tej ACL-në.
Herero,Herero
Hernia Repair,Riparimi i Hernies
Herniated Disc,Disk i Hernizuar
Herpes,Herpes
Hertel Exophthalmometry,Ekzoftalmometri Hertel
HERT{{Hertel exophthalmometry}},HERT{{Ekzoftalmometri Hertel}}
Hesitancy,Hezitim
"heyyo. you have been here for ","heyyo. ju keni qenë këtu për "
Hib 1,Hib 1
Hib 2,Hib 2
Hib 3,Hib 3
Hib 4,Hib 4
Hidden,I fshehur
Hidden Events Administration,Administrimi i Ngjarjeve të Fshehura
Hide Billing Widget,Fshih Widget-in e Faturimit
"hide else set to","fshih përndryshe vendos në"
Hide Empty E-Sign Logs On Report,Fshih Regjistrat Bosh të E-Nënshkrimit në Raport
"Hide Encryption/Decryption Options In Document Management","Fshih Opsionet e Enkriptimit/Dekriptimit në Menaxhimin e Dokumenteve"
Hide Help Modal,Fshih Dritaren e Ndihmës
Hide print feature,Fshih funksionin e printimit
Hide Reminders,Fshih Përkujtesat
hide this field,fshih këtë fushë
Hide/Show Columns,Fshih/Shfaq Kolonat
HIE,HIE
"High (high)","I lartë (i lartë)"
High{{Priority}},I lartë{{Prioriteti}}
Hindi,Hindi
Hip + groin,Ijë + kofshë
Hip and groin,Ijë dhe kofshë
Hip Problems,Probleme të Ijës
Hip Replacement,Zëvendësimi i Ijës
Hipaa Message,Mesazh Hipaa
Hiri Motu,Hiri Motu
Hirsutism/Striae,Hirsutizëm/Stri
"Historical information -source unspecified","Informacion historik - burimi i paspecifikuar"
History & Lifestyle,Historia & Stili i Jetës
"History - patient's past medical history, family history, personal history","Historia - historia e kaluar mjekësore e pacientit, historia familjare, historia personale"
History and Lifestyle,Historia dhe Stili i Jetës
History and Lifestyle Help,Ndihma për Historinë dhe Stilin e Jetës
History and Physical 2008,Historia dhe Fizike 2008
"History of Present Illness: A detailed HPI may be completed by using either four or more HPI elements OR the status of three chronic or inactive problems.","Historia e Sëmundjes Aktuale: Një HPI e detajuar mund të plotësohet duke përdorur katër ose më shumë elemente HPI OSE statusin e tre problemeve kronike ose joaktive."
History Order,Renditja e Historisë
History order,Renditja e historisë
Hits,Goditje
HL7,HL7
HL7 - MSH-11 - Processing ID,HL7 - MSH-11 - ID e Përpunimit
HL7 - MSH-3.1 - Sending application,HL7 - MSH-3.1 - Aplikacioni dërgues
HL7 - MSH-4.1 - Sending facility,HL7 - MSH-4.1 - Objekti dërgues
HL7 - MSH-5.1 - Receiving application,HL7 - MSH-5.1 - Aplikacioni marrës
HL7 - MSH-6.1 - Receiving facility,HL7 - MSH-6.1 - Objekti marrës
HL7 Code,Kodi HL7
"HL7 is supported by more than 1,600 members from over 50 countries, making it a widely accepted standard","HL7 mbështetet nga më shumë se 1,600 anëtarë nga mbi 50 vende, duke e bërë atë një standard të pranuar gjerësisht"
HL7 Viewer,Shikuesi HL7
HL7-V3 Concept Code,Kodi i Konceptit HL7-V3
HMOL/L,HMOL/L
Hmong,Hmong
Hold down [Ctrl] for multiple selections or to unselect,Mbani shtypur [Ctrl] për zgjedhje të shumëfishta ose për të hequr zgjedhjen
Hold down Ctrl button to select multiple issues,Mbani shtypur butonin Ctrl për të zgjedhur çështje të shumta
Hold down Ctrl to select multiple items,Mbani shtypur Ctrl për të zgjedhur artikuj të shumtë
Hold down Ctrl to select multiple squads,Mbani shtypur Ctrl për të zgjedhur skuadra të shumta
"Hold on! You have unsaved changes in another form. Please just Save this form and then complete the other one.","Prisni! Keni ndryshime të paruajtura në një formular tjetër. Ju lutem thjesht Ruajeni këtë formular dhe pastaj plotësoni tjetrin."
Holidays management,Menaxhimi i festave
Home Facility,Objekti Kryesor
Homeless,I pastrehë
Homeless Shelter,Strehë për të Pastrehët
Hooks,Hooks
Horiz Base{{abbreviation for Horizontal Prism Base}},Baza Horiz{{shkurtim për Bazën Horizontale të Prizmit}}
Horiz Prism{{abbreviation for Horizontal Prism Power}},Prizmi Horiz{{shkurtim për Fuqinë Horizontale të Prizmit}}
Horizontal Prism Base,Baza Horizontale e Prizmit
Horizontal Prism Power,Fuqia Horizontale e Prizmit
Hospice,Hospice
"Hospital date needed for successful billing of hospital encounters","Data e spitalit nevojitet për faturimin e suksesshëm të vizitave spitalore"
Host,Host
Host Name,Emri i Hostit
Host Name cannot be empty,Emri i Hostit nuk mund të jetë bosh
"How bad is it? 0-10, mild, mod, severe?","Sa e keqe është? 0-10, e lehtë, mesatare, e rëndë?"
How did Injury Occur?,Si ndodhi Lëndimi?
How did Injury Occur?:,Si ndodhi Lëndimi?:
How did they hear about us,Si dëgjuan për ne
"How difficult have these problems made it to do work, take care of things at home, or get along with other people?","Sa të vështira i kanë bërë këto probleme punën, kujdesin për gjërat në shtëpi, ose marrëdhëniet me njerëzit e tjerë?"
How long does it last?,Sa kohë zgjat?
How many months ahead to query for upcoming events?,Sa muaj përpara të kërkohet për ngjarjet e ardhshme?
"How many sets of specimen labels to create?","Sa grupe etiketash kampionësh të krijohen?"
How often have you been bothered by the following over the past 2 weeks?,Sa shpesh jeni shqetësuar nga sa më poshtë gjatë 2 javëve të fundit?
How Paid,Si u Pagua
How Referred,Si u Referua
How to display the patient name,Si të shfaqet emri i pacientit
How to sort a drop-lists,Si të renditen listat rënëse
How-to Build the Impression/Plan,Si të Ndërtohet Përshtypja/Plani
"However SMS text messages can be intercepted and the use of SMS as a method of implementing out-of-band two-factor authentication is discouraged","Megjithatë mesazhet SMS mund të përgjigjen dhe përdorimi i SMS si metodë për zbatimin e autentifikimit me dy faktorë jashtë-brezit nuk rekomandohet"
"However, you can not use this email for patient registration since it is already being used.","Megjithatë, nuk mund ta përdorni këtë email për regjistrimin e pacientit pasi ai është tashmë në përdorim."
HPI,HPI
HPI Elements,Elementet e HPI
HPI:,HPI:
HP{{abbreviation for Horizontal Prism Power}},HP{{shkurtim për Fuqinë Horizontale të Prizmit}}
HT,HT
HTN{{hypertension}},HTN{{hipertension}}
Http Error,Gabim Http
Https link for the OpenEMR Support LLC Lab Exchange Service.,Linku Https për Shërbimin e Shkëmbimit të Laboratorit të OpenEMR Support LLC.
HT{{hyperphoria}},HT{{hiperfori}}
Hylafax Directory,Direktoria Hylafax
Hylafax Enscript Command,Komanda Enscript e Hylafax
Hylafax Server,Serveri Hylafax
Hylafax server hostname.,Emri i hostit të serverit Hylafax.
Hyperactive,Hiperaktiv
Hyperphoria,Hiperfori
Hypertension,Hipertension
Hypertension: Blood Pressure Measurement,Hipertensioni: Matja e Presionit të Gjakut
Hypertension: Blood Pressure Measurement (CQM),Hipertensioni: Matja e Presionit të Gjakut (CQM)
Hyperthyroidism,Hipertiroidizëm
hypo(T){{intermittent hypotropia}},hypo(T){{hipotropi e ndërprerë}}
Hypothyroidism,Hipotiroidizëm
Hypotropia,Hipotropi
hypoT{{hypotropia}},hypoT{{hipotropi}}
Hysterectomy,Histerektomi
I have read and accept the,Kam lexuar dhe pranoj
I have read and my practice agrees to the,Kam lexuar dhe praktika ime pajtohet me
I know but we need it!,E di por na duhet!
IBAN,IBAN
ICD10,ICD10
icon,ikonë
Icon Legend,Legjenda e Ikonave
Icons,Ikona
id,id
"ID - select a unique three letter id, all in lower case","ID - zgjidhni një id unik me tre shkronja, të gjitha me shkronja të vogla"
ID Card / Photos,Kartë Identiteti / Foto
