constant_name,definition
is a root node and can not be deleted.,eshte nje nyje rrenjore dhe nuk mund te fshihet.
is an extension of the following database,eshte nje zgjerim i bazes se te dhenave te meposhtme
Is Authorizing Signature,Eshte Nenshkrim Autorizues
Is Confidential,Eshte Konfidenciale
Is Enabled,Eshte e Aktivizuar
Is it ok to map these CVX codes to already existent immunizations?,A eshte ne rregull te lidhen keto kode CVX me vaksinat ekzistuese?
is misplaced or unknown,eshte e vendosur gabimisht ose e panjohur
is not a number,nuk eshte nje numer
is not a valid email address,nuk eshte nje adrese email e vlefshme
Is not selected,Nuk eshte zgjedhur
is not valid,nuk eshte e vlefshme
"is not valid (decimal fractions are OK).",nuk eshte e vlefshme (fraksionet dhjetore jane ne rregull).
Is PHP using Safe Mode?,A po perdor PHP Safe Mode?
Is Required. Contact Provider.,Eshte e Detyrueshme. Kontaktoni Ofruesin.
Is Required. Please Add in Contacts.,Eshte e Detyrueshme. Ju lutem Shtoni ne Kontakte.
Is selected,Eshte e zgjedhur
Is text from form layouts to be translated?,A duhet te perkthehet teksti nga formatet e formulareve?
Is text from lists to be translated?,A duhet te perkthehet teksti nga listat?
Is The File Encrypted?,A Eshte Skedari i Enkriptuar?
"Is this a Clinical Term code type?",A eshte ky nje lloj kodi i Termit Klinik?
"Is this a diagnosis type?",A eshte ky nje lloj diagnoze?
"Is this a Medical Problem code type?",A eshte ky nje lloj kodi i Problemit Mjekesor?
"Is this a Medication type?",A eshte ky nje lloj medikamenti?
"Is this a procedure/service type?",A eshte ky nje lloj procedure/sherbimi?
Is this active?,A eshte kjo aktive?
Is this code type active?,A eshte ky lloj kodi aktiv?
Is this code type used in claims?,A perdoret ky lloj kodi ne kerkesa?
Is this Okay?,A eshte kjo ne rregull?
Is this really OK?,A eshte kjo vertet ne rregull?
"Is this type hidden in the fee sheet?",A eshte ky lloj i fshehur ne fleten e tarifave?
"Is this using external sql tables? If it is, then choose the format.","A perdor kjo tabela te jashtme sql? Nese po, zgjidhni formatin."
is too long,eshte shume e gjate
ISO 639-2 Code,Kodi ISO 639-2
Issue Date,Data e Leshimit
Issue Subtypes,Nenllojet e Ceshtjes
Issues (Injuries/Medical/Allergy),Ceshtje (Demtime/Mjekesore/Alergji)
Issues (Injuries/Medical/Allergy):,Ceshtje (Demtime/Mjekesore/Alergji):
"Issues - summarizes the patient's medical problems, allergies, medications, surgeries and dental issues","Ceshtje - permbledh problemet mjekesore te pacientit, alergjite, medikamentet, nderhyrjet kirurgjikale dhe ceshtjet dentare"
Issues and Encounters,Ceshtje dhe Vizita
Issues and Encounters for,Ceshtje dhe Vizita per
Issues and Immunizations wiki page,Faqja wiki e Ceshtjeve dhe Vaksinimeve
Issues can also be linked to zero or more encounters,Ceshtjet mund te lidhen gjithashtu me zero ose me shume vizita
Issues Help,Ndihme per Ceshtjet
Issues List,Lista e Ceshtjeve
Issues not authorized,Ceshtjet nuk jane te autorizuara
Issuing Agency,Agjencia Leshuese
