constant_name,definition
Measure Group Code,Kodi i Grupit të Matjes
Measure INR,Matja INR
Measurement,Matja
Measurement Units,Njësitë e Matjes
MedEx automates Appointment Reminders and Recalls using phone calls text messages and e-mails,MedEx automatizon Kujtesat e Takimeve dhe Rikthimet duke përdorur thirrje telefonike mesazhe tekst dhe e-mail
MedEx Communication Service,Shërbimi i Komunikimit MedEx
"MedEx needs a valid mobile number to send SMS messages...","MedEx ka nevojë për një numër celulari të vlefshëm për të dërguar mesazhe SMS..."
MedEx Setup,Konfigurimi i MedEx
Medial Canthi,Kantuset Mediale
Medial malleolus:,Maleoli medial:
Medicaid,Medicaid
Medicaid Original Reference No.,Medicaid Nr. Origjinal i Referencës
Medical,Mjekësore
Medical Abortion,Abort Mjekësor
Medical Administration,Administrimi Mjekësor
Medical Dashboard,Paneli Mjekësor
Medical Dashboard Help,Ndihma e Panelit Mjekësor
Medical History,Historiku Mjekësor
Medical Issue,Çështje Mjekësore
Medical issue,Çështje mjekësore
Medical Issues,Çështje Mjekësore
Medical prescription,Receta mjekësore
Medical Problem,Problem Mjekësor
Medical problem,Problem mjekësor
Medical Problem Issue List,Lista e Çështjeve të Problemeve Mjekësore
Medical Problems,Probleme Mjekësore
"Medical Problems - will show the patient's medical issues, Issues > Medical Problems","Probleme Mjekësore - do të shfaqë çështjet mjekësore të pacientit, Çështjet > Probleme Mjekësore"
Medical Record,Kartela Mjekësore
Medical Record #,Kartela Mjekësore #
Medical Record Dashboard,Paneli i Kartelës Mjekësore
Medical Records,Kartela Mjekësore
"Medical Records and History (write,addonly optional) (med)","Kartela Mjekësore dhe Historiku (shkruaj, shto vetëm opsionale) (med)"
Medical Records Sent,Kartelat Mjekësore të Dërguara
Medical Specialty,Specialiteti Mjekësor
Medical Summary Given,Përmbledhja Mjekësore e Dhënë
Medical System,Sistemi Mjekësor
Medical Type,Tipi Mjekësor
"Medical/History (write,addonly optional)","Mjekësore/Historiku (shkruaj, shto vetëm opsionale)"
"Medical/History (write,addonly optional) (med)","Mjekësore/Historiku (shkruaj, shto vetëm opsionale) (med)"
Medicare Part B,Medicare Pjesa B
Medicare Referrer Is Renderer,Referuesi i Medicare është Kryerësi
Medication,Ilaç
Medication Allergy List,Lista e Alergjive ndaj Ilaçeve
Medication Dosage Instructions,Udhëzimet e Dozimit të Ilaçit
Medication Issue List,Lista e Çështjeve të Ilaçeve
Medication List,Lista e Ilaçeve
Medication Reconciliation Performed?,Rakordimi i Ilaçeve u Krye?
Medication Request Intent,Qëllimi i Kërkesës për Ilaç
