constant_name,definition
Name of zend template for pdf export,Emri i shabllonit zend per eksportin PDF
"Name of zend template for pdf export, possible to add custom template in the PrescriptionTemplate module","Emri i shabllonit zend per eksportin PDF, e mundur te shtoni shabllon te personalizuar ne modulin PrescriptionTemplate"
Name on Card,Emri ne Karte
Name Translation,Perkthimi i Emrit
Name/Username,Emri/Perdoruesi
Names,Emrat
Namespace,Hapesira e emrave
Narcotic drugs imported,Barna narkotike te importuara
NARES:,NARES:
NARES: Normal Right,NARES: Normale Djathtas
Narrative,Tregimi
nasal,nazal
"Nasal mucosa pink, septum midline","Mukoza nazale roze, septumi ne vijne e mesit"
Nation Notes,Shenime Kombetare
Nation Notes (nationnotes),Shenime Kombetare (nationnotes)
Nation Notes (nn_configure),Shenime Kombetare (nn_configure)
Nation Notes Configure,Konfigurimi i Shenimeve Kombetare
Nation Notes Replace Buttons,Butonat e Zevendesimit te Shenimeve Kombetare
Nationality,Kombesia
NationNotes,ShenimeKombetare
Native Data Loads,Ngarkimet e te Dhenave Vendase
Native Hawaiian or Other Pacific Islander,Vendas i Havait ose Ishullor tjeter i Paqesorit
Natural Child,Femije Natyral
Natural child,Femije natyral
Natural Parent,Prind Natyral
Natural Sibling,Motër/Vella Natyral
Nauru,Nauru
Nausea,Nauze
Nav Bar,Shiriti i Navigimit
"Navajo, Navaho","Navaho, Navaho"
Navigation,Navigimi
Navigation area includes encounter forms,Zona e navigimit perfshine format e vizitave
Navigation area uses full height of frameset,Zona e navigimit perdor lartesine e plote te kornizes
Navigation Area Visit Forms,Format e Vizitave te Zones se Navigimit
Navigation Area Width,Gjeresia e Zones se Navigimit
Navigation Area Width for Frames,Gjeresia e Zones se Navigimit per Korniza
Navigation menu consists of pairs of radio buttons,Menyja e navigimit perbehet nga cifte butonash radio
Navigation menu is a tree view,Menyja e navigimit eshte pamje peme
Navigation uses a sliding menu,Navigimi perdor nje meny rrëshqitëse
NCI CONCEPT ID,NCI CONCEPT ID
NCOM{{Neuro comments}},NCOM{{Komente neurologjike}}
NCPDP,NCPDP
NDC,NDC
NDC Data,Te Dhena NDC
NDC Number,Numri NDC
Ndonga,Ndonga
Near,Afer
Near Acuity AutoRefraction,Mprehti Afer Autorefrakcion
Near Acuity Manifest Refraction,Mprehti Afer Refrakcion Manifest
Near Acuity with Autorefraction,Mprehti Afer me Autorefrakcion
Near Acuity with Correction,Mprehti Afer me Korrigjim
Near Acuity with Manifest (Dry) refraction,Mprehti Afer me Refrakcion Manifest (te Thate)
Near Acuity without Correction,Mprehti Afer pa Korrigjim
Near Point of Accomodation,Pika Afer e Akomodimit
Near Point of Convergence,Pika Afer e Konvergjences
Nearly every day,Pothuajse cdo dite
Necessary Medical Equipment,Pajisje Mjekesore te Nevojshme
Neck supple,Qafa e bute
Need more than one drug.,Nevojitet me shume se nje bar.
Need to enter a description,Duhet te vendosni nje pershkrim
Need to enter a Return Value,Duhet te vendosni nje Vlere Kthimi
Need to enter identifier,Duhet te vendosni identifikuesin
Need to enter title,Duhet te vendosni titullin
need to logout/login after changing these settings,duhet te dilni/hyni pas ndryshimit te ketyre cilësimeve
Needs a Smartphone,Kerkon nje Smartphone
Needs Auth,Kerkon Autorizim
Needs Justify,Kerkon Justifikim
Needs secondary billing,Kerkon faturim dytesor
Neg/Nrml,Neg/Nrml
Negative payments not accepted,Pagesat negative nuk pranohen
Neg{{negative}},Neg{{negativ}}
Neighbor,Fqinj
Neo 10%,Neo 10%
Neo 2.5%,Neo 2.5%
Nerve injury,Demtim i nervit
NetSuite Reports,Raporte NetSuite
Network Indicator,Treguesi i Rrjetit
Neural condition / nerve damage,Gjendje neurologjike / demtim i nervit
Neuro,Neuro
Neuro Numbness,Mpirje Neurologjike
Neuro Weakness,Dobesi Neurologjike
Neuro-physiology,Neuro-fiziologji
Neuro/Phys Exam Default Values,Vlerat e Paracaktuara te Ekzaminimit Neuro/Fizik
Neurologic,Neurologjik
Neurology,Neurologji
Neuro{{neurologic}},Neuro{{neurologjik}}
NEURO{{Neurology}},NEURO{{Neurologji}}
New Acceptor Policy,Politika e Pranuesve te Rinj
New Acceptors,Pranues te Rinj
New Alerts,Njoftime te Reja
New amendment request,Kerkese e re ndryshimi
New Appointment,Takim i Ri
New Crop,Crop i Ri
New Definition set added,Grup i ri perkufizimesh u shtua
New Due Clinical Reminders,Kujtese te Reja Klinike te Afatit
New Dx{{new diagnosis}},Dg e Re{{diagnoza e re}}
New Encounter,Vizite e Re
New encounter created with id,Vizite e re e krijuar me id
New Encounter Form,Forme e Vizites se Re
New encounters not authorized,Vizitat e reja nuk jane te autorizuara
New Enctr,Viz e Re
New Facility Information,Informacion i Ri i Objektit
New file,Skedar i ri
New Files,Skedare te Rinj
New form validation,Validimi i formes se re
New group encounter created with id,Vizite grupi e re e krijuar me id
New Group Encounter Form,Forme e Vizites se Re te Grupit
