constant_name,definition
No scopes,Asnjë fushëveprim
No Settings avaliable in this module,Asnjë cilësim i disponueshëm në këtë modul
No Show,Nuk u Paraqit
No show,Nuk u paraqit
no signature in document,asnjë firmë në dokument
No signatures on file,Asnjë firmë në dosje
"No Sinus Tenderness:","Pa ndjeshmëri të sinuseve:"
No skin dimpling or breast nodules,Pa gropëzime të lëkurës ose nyje gjiri
NO SUCH CONTEXT NAME,ASNJË EMËR I TILLË KONTEKSTI
No table selected! Select a table.,Asnjë tabelë e zgjedhur! Zgjidhni një tabelë.
"No testicular tenderness, masses","Pa ndjeshmëri testikulare, masa"
No Thanks,Jo Faleminderit
No thrills or heaves,Pa dridhje ose lëkundje
No track selected,Asnjë gjurmë e zgjedhur
No tracks have been documented.,Asnjë gjurmë nuk është dokumentuar.
No translations!,Asnjë përkthim!
No version of Internet Explorer supports U2F,Asnjë version i Internet Explorer nuk mbështet U2F
No visit,Asnjë vizitë
No vitals have been documented.,Asnjë shenjë vitale nuk është dokumentuar.
No X-12 partner assigned for claim ,Asnjë partner X-12 i caktuar për pretendimin
"No, Cancel","Jo, Anulo"
No-fault Insurance including Auto is Primary,Sigurimi pa faj duke përfshirë Auto është Primar
No:,Jo:
Nocturia,Nikturia
Non Paid,E Papaguar
Non Provider,Jo Ofrues
Non Reported Report,Raport i Paraportuar
Non specific injury,Lëndim jospecifik
Non-Consumable Only,Vetëm Jo-Konsumues
Non-electronic,Jo-elektronik
Non-Insulin Dependent Diabetes,Diabet Jo i Varur nga Insulina
Non-Insured,I Pasiguruar
Non-residential Substance Abuse Treatment Facility,Qendër Trajtimi Jo-Rezidenciale e Abuzimit me Substanca
Non-SRH Medical,Jo-SRH Mjekësor
Non-SRH Non-Medical,Jo-SRH Jo-Mjekësor
None,Asnjë
none,asnjë
None defined,Asnjë i përcaktuar
None documented,Asnjë i dokumentuar
None have been documented,Asnjë nuk është dokumentuar
None of the above,Asnjë nga sa më sipër
None of the Top Distribution Row Can be Completly Blank.,Asnjë rresht i Shpërndarjes së Sipërme nuk mund të jetë plotësisht bosh.
None required,Asnjë nuk kërkohet
None Selected,Asnjë i Zgjedhur
None{{Advanced_Directives}},Asnjë{{Advanced_Directives}}
None{{Amendment}},Asnjë{{Amendment}}
None{{Appointment}},Asnjë{{Appointment}}
None{{Authorization}},Asnjë{{Authorization}}
None{{Category}},Asnjë{{Category}}
none{{Code}},asnjë{{Code}}
None{{Diagnosis}},Asnjë{{Diagnosis}}
None{{Disclosure}},Asnjë{{Disclosure}}
None{{Encounter}},Asnjë{{Encounter}}
None{{Group}},Asnjë{{Group}}
None{{Immunizations}},Asnjë{{Immunizations}}
None{{Insurance}},Asnjë{{Insurance}}
None{{Issues}},Asnjë{{Issues}}
None{{Issue}},Asnjë{{Issue}}
None{{Note}},Asnjë{{Note}}
None{{Partner}},Asnjë{{Partner}}
None{{Patient}},Asnjë{{Patient}}
None{{Prescriptions}},Asnjë{{Prescriptions}}
None{{Recipients}},Asnjë{{Recipients}}
None{{Result}},Asnjë{{Result}}
None{{Sales}},Asnjë{{Sales}}
None{{Sensitivity}},Asnjë{{Sensitivity}}
None{{Side}},Asnjë{{Side}}
none{{Symptoms}},asnjë{{Symptoms}}
none{{Template}},asnjë{{Template}}
None{{Therapy Group}},Asnjë{{Therapy Group}}
None{{Transaction}},Asnjë{{Transaction}}
Noninsulin Dependent Diabetes,Diabet i Pavarur nga Insulina
Nor,As
Normal,Normale
Normal (normal),Normale (normale)
Normal BL,BL Normale
Normal Cardiac Exam:,Ekzaminimi Kardiak Normal:
"Normal Cardiac Exam: ","Ekzaminimi Kardiak Normal: "
Normal Lung Exam:,Ekzaminimi Normal i Mushkërive:
"Normal Lung Exam: ","Ekzaminimi Normal i Mushkërive: "
Normal Office Visit,Vizitë Normale në Zyrë
Normal Oropharynx:,Orofaringu Normal:
Normal Right,E Djathtë Normale
Normal Right:,E Djathtë Normale:
Normal View,Pamje Normale
normal:,normale:
"Normally this should be checked. Not related to access control.","Normalisht kjo duhet të jetë e kontrolluar. Nuk ka lidhje me kontrollin e aksesit."
North Ndebele,Ndebele e Veriut
Northern Sami,Sami Verior
Norwegian Bokmal,Norvegjishte Bokmal
Norwegian Bokmål,Norvegjishte Bokmål
Norwegian Nynorsk,Norvegjishte Nynorsk
Nose,Hunda
Nosebleed,Gjakrrjedhje nga hunda
not a letter or number,nuk është shkronjë ose numër
Not active,Jo aktiv
Not Administered,Nuk u Administrua
"Not all fields are required for all codes or code types.","Jo të gjitha fushat kërkohen për të gjitha kodet ose llojet e kodeve."
