constant_name,definition
Offsite Patient Portal Username(Put Blank If not Registered).,Emri i Përdoruesit të Portalit të Pacientit Jashtë Vendit (Lini Bosh Nëse Nuk Është i Regjistruar).
Offsite Portal web Service Failed,Shërbimi Ueb i Portalit Jashtë Vendit Dështoi
Offspring,Pasardhës
Offspring History,Historiku i Pasardhësve
Oh Snap!,Oh Jo!
OID,OID
ointment,pomadë
"Ojibwe, Ojibwa","Ojibwe, Ojibwa"
OK,OK
Ok,Ok
OK to close this other popup window?,OK për të mbyllur këtë dritare tjetër?
OK to link the GCAC issue dated,OK për të lidhur çështjen GCAC me datë
Old,I vjetër
"Old Church Slavonic, Church Slavonic, Old Bulgarian","Sllavishtja e Vjetër Kishtare, Sllavishtja Kishtare, Bullgarishtja e Vjetër"
Old Clients,Klientë të Vjetër
Old fracture non / malunion,Frakturë e vjetër pa bashkim / bashkim i keq
Old Medication,Ilaç i Vjetër
Old style layout with no left menu,Paraqitje e stilit të vjetër pa menynë e majtë
Old-style static form without search or duplication check,Formular statik i stilit të vjetër pa kërkim ose kontroll dublikimi
Older,Më i vjetër
Older than,Më i vjetër se
Oldest drawing,Vizatimi më i vjetër
Omit,Hiq
Omit circumferences,Hiq perimetrat
Omit employer information in patient demographics,Hiq informacionin e punëdhënësit nga demografitë e pacientit
Omit Employers,Hiq Punëdhënësit
"Omit form, route and interval which then become part of dosage","Hiq formën, rrugën dhe intervalin të cilat bëhen pjesë e dozimit"
Omit insurance and some other things from the demographics form,Hiq sigurimin dhe disa gjëra të tjera nga formulari i demografive
Omit internal users?,Hiq përdoruesit e brendshëm?
Omit method of payment from the co-pay panel,Hiq mënyrën e pagesës nga paneli i bashkëpagesës
omit to autoassign,hiq për caktim automatik
On,Aktiv
on,në
on file email,email në dosje
On first page,Në faqen e parë
On for Both Roles,Aktiv për të Dyja Rolet
On for Patient Role,Aktiv për Rolin e Pacientit
On for Users Role,Aktiv për Rolin e Përdoruesve
On Hand,Në Dorë
"On mobile devices tap once on the label to reveal the help icon and tap on the icon to show the help section","Në pajisjet celulare, prekni një herë mbi etiketën për të shfaqur ikonën e ndihmës dhe prekni ikonën për të shfaqur seksionin e ndihmës"
"On opening, all dx code rows that match the new procedure from procedure order form will be marked and then will scroll to the first match.","Gjatë hapjes, të gjitha rreshtat e kodit dx që përputhen me procedurën e re nga formulari i porosisë së procedurës do të shënohen dhe pastaj do të lëvizë deri te përputhja e parë."
On Order,Në Porosi
On Site,Në Vend
"On the other hand if you click register but do not capture the QR code with the authenticator app you will not be able to login","Nga ana tjetër, nëse klikoni regjistro por nuk kapni kodin QR me aplikacionin e vërtetimit, nuk do të mund të identifikoheni"
On these lines the Code column will be blank,Në këto rreshta kolona e Kodit do të jetë bosh
"On this date there is a holiday, use it anyway?","Në këtë datë ka një festë, ta përdorni gjithsesi?"
On-line,Në linjë
On: HAPI FHIR.,Mbi: HAPI FHIR.
On: Smart on FHIR.,Mbi: Smart on FHIR.
Once a rule is setup it can be enabled for a particular patient,Pasi të konfigurohet një rregull mund të aktivizohet për një pacient të caktuar
"Once a template is uploaded, you may change the category at anytime from the repository view.","Pasi të ngarkohet një shabllon, mund të ndryshoni kategorinë në çdo kohë nga pamja e depozitës."
