constant_name,definition
Pneumonia Vaccination,Vaksinimi kundër Pneumonisë
Pneumonia Vaccination Status for Older Adults,Statusi i Vaksinimit kundër Pneumonisë për të Moshuarit
Pneumonia Vaccination Status for Older Adults (CQM),Statusi i Vaksinimit kundër Pneumonisë për të Moshuarit (CQM)
POH{{Past Ocular History}},POH{{Historiku Okular i Kaluar}}
Point of Service (POS),Pika e Shërbimit (POS)
"Point to a custom user manual. Leave blank for the default, auto-generated URL for specific version of application","Vendosni një manual përdoruesi të personalizuar. Lëreni bosh për URL-në e paracaktuar, të gjeneruar automatikisht për versionin specifik të aplikacionit"
Policy Begin Date,Data e Fillimit të Policës
Policy effective date,Data e hyrjes në fuqi të policës
Polydypsia,Polidipsia
Polygon,Poligon
Polyps,Polipe
Polyuria,Poliuria
Pop Out,Hap Jashtë
Pop Out Full Screen.,Hap në Ekran të Plotë.
Pop ups need to be enabled to see these reports,Dritaret kërcyese duhet të aktivizohen për të parë këto raporte
Populate Fee Sheet,Plotëso Fletën e Tarifave
Populate the year view with events?,Plotëso pamjen vjetore me ngjarje?
Port,Porta
Portal,Portali
Portal Account Name,Emri i Llogarisë së Portalit
Portal Activity,Aktiviteti i Portalit
Portal Alerts,Njoftimet e Portalit
Portal Audits,Auditimet e Portalit
Portal Chats,Bisedat e Portalit
Portal Credential Information,Informacioni i Kredencialeve të Portalit
Portal Dashboard,Paneli i Portalit
Portal Document Review,Rishikimi i Dokumenteve të Portalit
Portal ID,ID e Portalit
Portal ID does not match request from portal!,ID e Portalit nuk përputhet me kërkesën nga portali!
Portal Idle Session Timeout Seconds,Sekonda të Skadimit të Sesionit Joaktiv të Portalit
Portal Mail,Posta e Portalit
Portal Only,Vetëm Portali
Portal password is missing,Fjalëkalimi i portalit mungon
Portal Payments,Pagesat e Portalit
Portal Requests,Kërkesat e Portalit
Portal Uses Server Base Path (internal),Portali Përdor Shtegun Bazë të Serverit (i brendshëm)
Portrait,Portret
Portuguese (Angolan),Portugalisht (Angoleze)
POS Code,Kodi POS
POS Payment,Pagesa POS
POS Payments,Pagesat POS
POS Printer,Printeri POS
Pos/Abn,Poz/Anorm
Position of Gaze,Pozicioni i Shikimit
Possible,E mundshme
Post Date,Data e Postimit
Post For,Posto Për
Post Item,Posto Artikullin
Post Nasal Drip,Rrjedhja Pas-nazale
Post Payment,Posto Pagesën
Post Payments,Posto Pagesat
Post surgical,Pas-kirurgjikale
Post to accounting and mark as billed,Posto në kontabilitet dhe shëno si faturuar
Post To Date,Posto Deri në Datën
Post To Date Cannot be greater than Today,Posto Deri në Datën nuk mund të jetë më e madhe se Sot
Post To Date must be greater than the financial close date.,Posto Deri në Datën duhet të jetë më e madhe se data e mbylljes financiare.
Post To Date Must be greater than the Financial Close Date.,Posto Deri në Datën Duhet të jetë më e madhe se Data e Mbylljes Financiare.
Post-Abortion Care,Kujdesi Pas-Abortit
Post-Abortion Contraception,Kontracepsioni Pas-Abortit
Post-Abortion Counseling,Këshillimi Pas-Abortit
Post-Abortion Followup,Ndjekja Pas-Abortit
Postal Code and Box Number,Kodi Postar dhe Numri i Kutisë
PostCalendar,PostCalendar
PostCalendar Administration,Administrimi i PostCalendar
PostCalendar Category Settings,Cilësimet e Kategorive të PostCalendar
PostCalendar Global Settings,Cilësimet Globale të PostCalendar
Postcard,Kartolinë
POSTCARD,KARTOLINË
Postcard printed by,Kartolina e printuar nga
Postcards,Kartolina
Posted on,Postuar më
Posterior Segment,Segmenti i Pasëm
Posting,Postim
post{{posterior}},post{{i pasëm}}
POS{{Past Ocular Surgery}},POS{{Kirurgjia Okulare e Kaluar}}
Potential Acuity,Mprehtësia Potenciale
Potential Acuity Meter,Matësi i Mprehtësisë Potenciale
Powered by,Mundësuar nga
PPE + Prev Med/Surg Hx,PPE + Hist Mjek/Kirurg Paraardhëse
PQRI,PQRI
PQRI Registry ID,ID e Regjistrit PQRI
PQRI Registry Name,Emri i Regjistrit PQRI
Practice Default Setting,Cilësimi i Paracaktuar i Praktikës
Practice Settings,Cilësimet e Praktikës
Practice Settings (practice),Cilësimet e Praktikës (praktika)
Practitioner,Mjeku
Pre Participation Assessment,Vlerësimi Para Pjesëmarrjes
Pre Pay,Para-Pagesë
Pre Payment,Para-Pagesë
Pre-Abortion Consultation,Konsultimi Para-Abortit
Pre-Abortion Counseling,Këshillimi Para-Abortit
Pre-payment Amount,Shuma e Para-Pagesës
Pref Cat,Kat Pref
Preference,Preferencë
Preferences,Preferencat
Preferences updated successfully,Preferencat u përditësuan me sukses
Preferred Event Category,Kategoria e Preferuar e Ngjarjes
Preferred Language,Gjuha e Preferuar
Preferred Pharmacy,Farmacia e Preferuar
Preferred Provider Organization (PPO),Organizata e Ofruesve të Preferuar (PPO)
Preg Test,Testi i Shtatzënisë
Preparing To Run Report,Duke u Përgatitur për Ekzekutimin e Raportit
Prepay,Para-Pagesë
Prepayment,Para-Pagesë
Prepend Blank Row,Shto Rresht Bosh në Fillim
Prescription,Receta
