constant_name,definition
Protection Indicator,Treguesi i Mbrojtjes
Protection Indicator Effective Date,Data Efektive e Treguesit te Mbrojtjes
"Protocol - consists of two parts - the method used to send orders and receive results and whether it is used to receive results only or is used to send orders and receive result i.e. bidirectional","Protokolli - perbehet nga dy pjese - metoda e perdorur per te derguar porosi dhe per te marre rezultate dhe nese perdoret vetem per te marre rezultate ose perdoret per te derguar porosi dhe marre rezultate p.sh. dydrejtimesh"
Provide absolute path,Jepni shtegun absolut
Provide absolute path of file,Jepni shtegun absolut te skedarit
Provide absolute path of following file in Path to CA Certificate File,Jepni shtegun absolut te skedarit te meposhtem ne Shtegun per Skedarin e Certifikates CA
Provide absolute path of following file in Path to CA Key File,Jepni shtegun absolut te skedarit te meposhtem ne Shtegun per Skedarin e Celësit CA
Provide clinical summaries for patients for each office visit (New).,Siguroni permbledhje klinike per pacientet per cdo vizite ne zyre (E Re).
Provide clinical summaries for patients for each office visit.,Siguroni permbledhje klinike per pacientet per cdo vizite ne zyre.
Provide Password for,Jepni Fjalekalimin per
"Provide patients with an electronic copy of their health information (including diagnostic test results, problem list, medication lists, medication allergies), upon request.","Siguroni pacienteve nje kopje elektronike te informacionit te tyre shendetesor (perfshire rezultatet e testeve diagnostike, listen e problemeve, listen e medikamenteve, alergjite ndaj medikamenteve), sipas kerkeses."
"Provide patients with timely electronic access to their health information (including lab results, problem list, medication lists, medication allergies) within four business days of the information being available to the EP.","Siguroni pacienteve akses te shpejte elektronik ne informacionin e tyre shendetesor (perfshire rezultatet e laboratorit, listen e problemeve, listen e medikamenteve, alergjite ndaj medikamenteve) brenda kater diteve te punes nga momenti kur informacioni behet i disponueshem per EP."
Provide Records to Patient for Visit,Siguroni Regjistrime per Pacientin per Viziten
Provide TOTP code,Jepni kodin TOTP
Provide valid Email Address,Jepni nje Adrese Email te vlefshme
Provided Clinical Summary?,U Sigurua Permbledhje Klinike?
Provided Education Resource(s)?,U Siguruan Burime Edukative?
provider,ofruesi
Provider Access,Aksesi i Ofruesit
Provider Dashboard,Paneli i Ofruesit
"Provider email address is missing. Go to address book to add providers email address",Adresa e email te ofruesit mungon. Shkoni te libri i adresave per te shtuar adresat e email te ofruesit
Provider ID at Specified Facility,ID e Ofruesit ne Strukturen e Specifikuar
Provider Missing Add one in Choices,Ofruesi Mungon Shtoni nje ne Zgjedhje
Provider Missing NPI or Provider not selected in choices,Ofruesit i Mungon NPI ose Ofruesi nuk eshte zgjedhur ne zgjedhje
provider name,emri i ofruesit
Provider Number (Type),Numri i Ofruesit (Lloji)
Provider Password is missing,Fjalekalimi i Ofruesit mungon
Provider Qualifier Code,Kodi Kualifikues i Ofruesit
Provider/Warehouse,Ofruesi/Magazina
Providers See Entire Calendar,Ofruesit Shohin te Gjithe Kalendarin
PRO{{Patient Reported Outcomes}},PRO{{Rezultatet e Raportuara nga Pacienti}}
Prv,Ofr
PSA,PSA
PSC Hold Order,Porosi ne Pritje PSC
Psych,Psikiatri
Psych Diagnosis,Diagnoza Psikiatrike
Psych Medication,Medikamenti Psikiatrik
Psychiatric Brief Letter,Leter e Shkurter Psikiatrike
Psychiatric Facility-Partial Hospitalization,Struktura Psikiatrike-Hospitalizim i Pjesshem
Psychiatric Residential Treatment Center,Qendra e Trajtimit Rezidencial Psikiatrik
Psych{{psychiatric}},Psik{{psikiatrike}}
PSYCH{{Psychiatry}},PSIK{{Psikiatri}}
Pt %,Pt %
Pt Debt,Borxhi i Pt
Pt Notes,Shënimet e Pt
Pt Notes/Auth,Shënimet/Aut e Pt
Pt paid,Pt pagoi
Pt Rec Request,Kerkese Regjistrimi Pt
Pt refund,Rimbursim Pt
Pt released,Pt liruar
"PT Student, or leave blank","Student PT, ose lini bosh"
PT_CITY,PT_CITY
PT_DOB,PT_DOB
PT_EMAIL,PT_EMAIL
PT_FNAME,PT_FNAME
PT_LNAME,PT_LNAME
PT_MNAME,PT_MNAME
PT_PHONE_CELL,PT_PHONE_CELL
PT_PHONE_HOME,PT_PHONE_HOME
PT_POSTAL,PT_POSTAL
PT_SSN,PT_SSN
PT_STATE,PT_STATE
PT_STREET,PT_STREET
Pubid,Pubid
Public Agency,Agjencia Publike
Public Health Clinic,Klinike e Shendetit Publik
Public Health Service (PHS) or Other Federal Agency,Sherbimi i Shendetit Publik (PHS) ose Agjenci Tjeter Federale
Public Patient Id,Id Publike e Pacientit
Publicity Code,Kodi i Publicitetit
Publicity Code Effective Date,Data Efektive e Kodit te Publicitetit
Publish,Publiko
Publish Patient to FHIR Server,Publiko Pacientin ne Serverin FHIR
Pubpid,Pubpid
puff,fryrje
Pulmonary,Pulmonare
PULM{{Pulmonary}},PULM{{Pulmonare}}
Punjabi,Punxhabi
Pupils,Bebezat e Syrit
Purchase or Transfer,Blerje ose Transferim
Purchase/Receipt,Blerje/Fature
px,px
Pyschiatry,Psikiatri
Pāli,Pali
q.3h,q.3h
q.4h,q.4h
q.5h,q.5h
q.6h,q.6h
q.8h,q.8h
q.d.,q.d.
q.i.d.,q.i.d.
QHD,QHD
QOE,QOE
QOH,QOH
QOH is less than monthly usage,QOH eshte me pak se perdorimi mujor
Qrda Lab,Laboratori Qrda
Quantity cannot be negative for this transaction type,Sasia nuk mund te jete negative per kete lloj transaksioni
Quantity changed,Sasia u ndryshua
Quantity for NDC,Sasia per NDC
Quantity:,Sasia:
Quechua,Kechua
Query Error,Gabim ne Kerkim
querystring hash was invalid,hash i querystring ishte i pavlefshem
Quest Cert Debug,Debug i Certifikates Quest
Quest Cert Testing,Testimi i Certifikates Quest
Queued Events Administration,Administrimi i Ngjarjeve ne Radhe
Queued Submissions Administration,Administrimi i Dergimeve ne Radhe
Quick Picks,Zgjedhje te Shpejta
QWXGA,QWXGA
R,R
R/LG{{right/left gonioscopy}},R/LG{{gonioskopia djathte/majtas}}
R/LPACH{{right/left pachymetry}},R/LPACH{{pakimetria djathte/majtas}}
R/LSCH1{{right/left Schirmers I (w/o anesthesia)}},R/LSCH1{{Schirmers I djathte/majtas (pa anestezia)}}
R/LSCH2{{right/left Schirmers II (w/ anesthesia)}},R/LSCH2{{Schirmers II djathte/majtas (me anestezia)}}
R/LTBUT{{right/left Tear Break Up Time}},R/LTBUT{{Koha e Thyerjes se Lotit djathte/majtas}}
"RA for Patient, Encounter, or Trace","RA per Pacientin, Viziten, ose Gjurmimin"
RAC{{right anterior chamber}},RAC{{dhoma anteriore e djathte}}
Radio Group Master,Master i Grupit Radio
Radio Group Member,Anetar i Grupit Radio
RAD{{right adnexa}},RAD{{adneksa e djathte}}
Rapid Workflow Option,Opsioni i Rrjedhes se Shpejte te Punes
"Rather than granting access to each ACO individually for each user the program grants access to groups that request these privileges. These groups are called Access Request Objects (ARO).","Ne vend te dhenies se aksesit per cdo ACO individualisht per cdo perdorues, programi jep akses grupeve qe kerkojne keto privilegje. Keto grupe quhen Objekte te Kerkeses se Aksesit (ARO)."
RB{{right brow}},RB{{vetulla e djathte}}
RCMT{{right Central Macular Thickness}},RCMT{{Trashesia Qendrore Makulare e djathte}}
RCOM{{right comments}},RCOM{{komentet e djathta}}
RCUP{{right cup}},RCUP{{kupa e djathte}}
RC{{right conjunctiva}},RC{{konjuktiva e djathte}}
RD{{retinal detachment}},RD{{shkeputje e retines}}
RD{{right disc}},RD{{disku i djathte}}
Re-Open Visit,Rihap Viziten
"Re-opening this visit will cause a void. Payment information will need to be re-entered. Do you want to proceed?","Rihapja e kesaj vizite do te shkaktoje nje anulim. Informacioni i pageses do te duhet te rifutet. Deshironi te vazhdoni?"
Re-Process UDI,Riperpuno UDI
"Reaction - hives, nausea, shortness of breath or unassigned","Reagimi - skuqje, te perzierat, frymemarrje e veshtire ose e pacaktuar"
Reactivate,Riaktivizo
react{{reactivity}},reag{{reaktiviteti}}
Read the help file there to understand the initial pre-configuration steps,Lexoni skedarin e ndihmes atje per te kuptuar hapat fillestare te para-konfigurimit
Read these two wiki articles for customizing the Fee Sheet,Lexoni keto dy artikuj wiki per personalizimin e Fletes se Tarifave
Read this wiki page for more details,Lexoni kete faqe wiki per me shume detaje
Read through this help file and its supporting documents before you start to configure the orders and results,Lexoni kete skedar ndihme dhe dokumentet mbeshtetes perpara se te filloni te konfiguroni porosite dhe rezultatet
