constant_name,definition
Reminder/recall - no calls,Kujtesë/rikujtim - pa thirrje
Reminder/recall - to provider,Kujtesë/rikujtim - te ofruesi
REMIT TO,DËRGO TEK
Remote Host,Hosti i Largët
"Remote Host - is only required if you are submitting an electronic order to an external facility or just receiving results from it","Hosti i Largët - kërkohet vetëm nëse po dërgoni një porosi elektronike në një strukturë të jashtme ose thjesht po merrni rezultate prej saj"
Remove,Hiq
Remove all rules from plan,Hiq të gjitha rregullat nga plani
Remove Bottom Pane,Hiq Panelin e Poshtëm
REMOVE GROUP,HIQ GRUPIN
Remove Group,Hiq Grupin
Remove Group Form,Hiq Formularin e Grupit
Remove multi-factor authentications for this person.,Hiq autentifikimin me shumë faktorë për këtë person.
Remove Tab,Hiq Skedën
Remove this Prescription from the list of RXs dispensed,Hiq këtë Recetë nga lista e recetave të shpërndara
Removes support for immunizations,Heq mbështetjen për vaksinat
Removes support for phpMyAdmin,Heq mbështetjen për phpMyAdmin
Removes support for prescriptions,Heq mbështetjen për recetat
Removes the bottom pane by default on start up.,Heq panelin e poshtëm si parazgjedhje gjatë nisjes.
Removes the Chart Tracker feature,Heq veçorinë e Gjurmimit të Kartës
Renal Stones,Gurë në Veshka
Rename,Riemërto
Rename Group,Riemërto Grupin
Rendering,Përpunimi
Rendering Provider,Ofruesi Përpunues
Rendering Provider Number,Numri i Ofruesit Përpunues
Rendering Provider Number (Type),Numri i Ofruesit Përpunues (Lloji)
Reorder,Riporosit
Reorder At,Riporosit Në
Reorder point has been reached,Pika e riporosisë është arritur
Reorder point has been reached for warehouse,Pika e riporosisë është arritur për magazinën
"Reorder point, 0 if not applicable","Pika e riporosisë, 0 nëse nuk aplikohet"
Reorder Qty,Sasia e Riporosisë
Rep,Përfaqësues
Repeat,Përsërit
Repeat password,Përsërit fjalëkalimin
Repeating event,Ngjarje e përsëritur
Repeating Info:,Info e Përsëritjes:
Repeats,Përsëritje
REPLACE,ZËVENDËSO
Replace,Zëvendëso
Replace all exam findings with Default values?  Are you sure?,Zëvendëso të gjitha gjetjet e ekzaminimit me vlerat e parazgjedhura? Jeni i sigurt?
Replace entire code set,Zëvendëso të gjithë setin e kodeve
"Replace the existing group and option values with these ones taking care to match the E/M codes","Zëvendëso vlerat ekzistuese të grupit dhe opsioneve me këto duke pasur kujdes të përputhen kodet E/M"
"Replace the hostname and port with the values provided to you by EMR Direct","Zëvendëso hostname-in dhe portin me vlerat e dhëna nga EMR Direct"
replaced,zëvendësuar
Replies,Përgjigje
Replies from patients are displayed directly in your EHR,Përgjigjet nga pacientët shfaqen drejtpërdrejt në EHR-në tuaj
Replies retrieved,Përgjigjet u morën
Reply,Përgjigju
Reply Date,Data e Përgjigjes
Reply From,Përgjigje Nga
Reply to this message,Përgjigju këtij mesazhi
Report,Raport
report,raport
Report - Clinical,Raport - Klinik
"Report - Generates and downloads the patient's Continuity of Care Record (CCR), Continuity of Care Document (CCD) and Patient Report","Raport - Gjeneron dhe shkarkon Regjistrin e Vazhdimësisë së Kujdesit (CCR), Dokumentin e Vazhdimësisë së Kujdesit (CCD) dhe Raportin e Pacientit"
Report - Patient List Creation,Raport - Krijimi i Listës së Pacientëve
Report by,Raport nga
Report Content,Përmbajtja e Raportit
Report End (Relinquished Care Date),Fundi i Raportit (Data e Lëshimit të Kujdesit)
Report has been sent to the patient.,Raporti u dërgua te pacienti.
Report History/Results,Historiku/Rezultatet e Raportit
Report of visit,Raport i vizitës
Report Results,Rezultatet e Raportit
Report Results/History,Rezultatet/Historiku i Raportit
Report Start (Assumed Care Date),Fillimi i Raportit (Data e Marrjes së Kujdesit)
Report Status,Statusi i Raportit
Report Totals,Totalet e Raportit
Report was faxed to,Raporti u dërgua me faks te
Report was faxed. Click to view.,Raporti u dërgua me faks. Klikoni për të parë.
Report/ Form,Raport/ Formular
Report?,Raport?
Reporting,Raportimi
"Reports consisting of various portions of the patient's medical record can be created here","Raportet që përbëhen nga pjesë të ndryshme të dosjes mjekësore të pacientit mund të krijohen këtu"
Repository always.,Depoja gjithmonë.
Request & Response,Kërkesë & Përgjigje
Request Content Fails Integrity Test,Përmbajtja e Kërkesës Dështon Testin e Integritetit
Request Eligibility,Kërko Përshtatshmërinë
Request ID is missing!,ID e Kërkesës mungon!
"Request ignored - claims processing is already running!","Kërkesa u injorua - përpunimi i pretendimeve tashmë po ekzekutohet!"
Request is not same origin!,Kërkesa nuk ka të njëjtën origjinë!
Request Message,Mesazhi i Kërkesës
Request New Appointment,Kërko Takim të Ri
Request Only,Vetëm Kërkesë
Request Status,Statusi i Kërkesës
Request Type,Lloji i Kërkesës
Request type not implemented,Lloji i kërkesës nuk është implementuar
request was received from portal patient,kërkesa u mor nga pacienti i portalit
Requested template does not exist,Shablloni i kërkuar nuk ekziston
Requests Sent,Kërkesat u Dërguan
