constant_name,definition
Sales,Shitje
Sales by Item,Shitje sipas Artikullit
Sales by Product Report,Raport i Shitjeve sipas Produktit
Saliva,Pështymë
Same Day,E njëjta Ditë
Samoan,Samoanisht
Sample,Mostër
Sanction Type,Lloji i Sanksionit
Sango,Sango
Sanskrit (Samskrta),Sanskrit (Samskrta)
"Sanskrit (Saṁskṛta)","Sanskrit (Saṁskṛta)"
Sardinian,Sardinjisht
Sat &amp; Sun,Sht &amp; Diel
Save & Exit,Ruaj & Dil
Save Activity,Ruaj Aktivitetin
Save and Checkout,Ruaj dhe Përfundo
Save and Close Visit,Ruaj dhe Mbyll Vizitën
Save and Continue,Ruaj dhe Vazhdo
Save and Print,Ruaj dhe Printo
Save as new message,Ruaj si mesazh i ri
Save as new note,Ruaj si shënim i ri
Save button saves claim and marks reviewed,Butoni Ruaj ruan kërkesën dhe e shënon si të rishikuar
Save Category,Ruaj Kategorinë
Save Certificate Settings,Ruaj Cilësimet e Certifikatës
Save Claim,Ruaj Kërkesën
Save claim for batch processing,Ruaj kërkesën për përpunim në grup
Save codes history,Ruaj historikun e kodeve
Save Completed,Ruajtja u Kompletua
Save Current,Ruaj Aktualin
Save for printing to a pre printed sheet,Ruaj për printim në fletë të para-printuar
Save for printing with form,Ruaj për printim me formular
Save Level,Ruaj Nivelin
Save omission selections,Ruaj zgjedhjet e përjashtimeve
Save Patient Demographics,Ruaj të Dhënat Demografike të Pacientit
Save Payer,Ruaj Paguesin
Save Profiles,Ruaj Profilet
"Save rejected because someone else has changed this list. Please try again.","Ruajtja u refuzua sepse dikush tjetër ka ndryshuar këtë listë. Ju lutem provoni përsëri."
Save Report as PDF,Ruaj Raportin si PDF
Save Successful,Ruajtja e Suksesshme
Save Successful for chart ID,Ruajtja e Suksesshme për ID-në e kartës
Save to Chart,Ruaj në Kartë
"Saved to Documents->Onsite Portal->Reviewed - Open there to move or rename.","U ruajt te Dokumentet->Portali në Vend->Rishikuar - Hapeni atje për ta lëvizur ose riemërtuar."
Saved to Patient Documents,U ruajt te Dokumentet e Pacientit
Saving denied,Ruajtja u refuzua
Sa{{Saturday}},Sht{{Saturday}}
sc Distance{{without correction distance}},sc Distanca{{without correction distance}}
sc Near{{without correction near}},sc Afër{{without correction near}}
"Scan the following QR code with your preferred authenticator app to register a new TOTP key.","Skanoni kodin QR të mëposhtëm me aplikacionin tuaj të preferuar të vërtetimit për të regjistruar një çelës të ri TOTP."
Scanned Encounter Note,Shënim i Skanuar i Vizitës
Scanner In,Skaneri Brenda
scDist{{ACT without Correction Distance}},scDist{{ACT without Correction Distance}}
scDist{{without correction distance}},scDist{{without correction distance}}
Schedule,Orari
Schedule A New Appointment,Cakto një Takim të Ri
Schedule Facilities:,Objektet e Orarit:
Schedule New Appointment,Cakto Takim të Ri
Scheduled,I Planifikuar
