constant_name,definition
T-Score,T-Score
t.i.d.,t.i.d.
T.V.,T.V.
Tab Log,Regjistri i Skedave
Table Action,Veprimi i Tabelës
Table Args,Argumentet e Tabelës
Tabs,Skeda
Tabs Layout Theme,Tema e Paraqitjes së Skedave
Tabs Layout Theme (need to logout/login after change this setting),Tema e Paraqitjes së Skedave (duhet të dilni/hyni pasi të ndryshoni këtë cilësim)
Tag to Encounter,Etiketë për Vizitën
Tag to Image Procedure,Etiketë për Procedurën e Imazhit
Tag to Procedure,Etiketë për Procedurën
Tagalog,Tagalog
Tagline text on the login page,Teksti i sloganit në faqen e hyrjes
"Take care and click on the black + sign on the Electrolyte Panel line to create these Discrete Results","Kini kujdes dhe klikoni mbi shenjën e zezë + në rreshtin e Panelit të Elektroliteve për të krijuar këto Rezultate Diskrete"
"Take Insurance, from Drop Down","Merrni Sigurimin, nga Lista Rënëse"
"Take Payment From, from Drop Down","Merrni Pagesën Nga, nga Lista Rënëse"
Takeback,Kthim
Takes long,Zgjat shumë
Takes you to the Register Time Based One Time Password Key - TOTP page,Ju dërgon në faqen e Regjistrimit të Çelësit të Fjalëkalimit Një Herë të Bazuar në Kohë - TOTP
Takes you to the Register Universal 2nd Factor Key - U2F page,Ju dërgon në faqen e Regjistrimit të Çelësit Universal të Faktorit të 2-të - U2F
Tall Navigation Area,Zona e Lartë e Navigimit
Tamper Date,Data e Ndërhyrjes
Tampered Checksum,Kontroll-shuma e Ndërhyrë
Target and source DOB do not match,Data e lindjes e objektivit dhe burimit nuk përputhen
Target and source pid may not be the same!,pid i objektivit dhe burimit nuk mund të jenë të njëjtë!
Target and source SSN do not match,SSN i objektivit dhe burimit nuk përputhen
Target/Action Groups,Grupet e Objektivit/Veprimit
Targets,Objektivat
Taskman: Documents in openEMR,Taskman: Dokumentet në openEMR
Taxonomy,Taksonomi
TA{{temporal arteries}},TA{{arteriet temporale}}
TB,TB
TBUT,TBUT
TBUT{{tear breakup time}},TBUT{{koha e shpërbërjes së lotit}}
Td,Td
Team Injury Overview,Pasqyra e Lëndimeve të Ekipit
Team Roster,Lista e Ekipit
Team Roster View,Pamja e Listës së Ekipit
Team/Squad,Ekipi/Skuadra
Tear Break Up Time,Koha e Shpërbërjes së Lotit
Telehealth,Teleshëndetësi
Telephone,Telefoni
Tell me more,Më trego më shumë
Telugu,Telugu
Temp,Temperaturë
Temp Location,Vendndodhja e Temperaturës
Temp Method,Metoda e Temperaturës
Temp. Art.{{temporal arteries}},Art. Temp.{{arteriet temporale}}
Template Actions,Veprimet e Shabllonit
Template Category successfully changed to new Category,Kategoria e Shabllonit u ndryshua me sukses në Kategorinë e re
Template Maintenance,Mirëmbajtja e Shabllonit
Template names cannot start with numbers.,Emrat e shablloneve nuk mund të fillojnë me numra.
Template Repository,Depoja e Shablloneve
Template selector changed,Zgjedhësi i shabllonit u ndryshua
Template Uploads,Ngarkimet e Shablloneve
"Templates are automatically uploaded to the Template Repository. All actions on template disposal such as sending templates based on what locations are selected from the Scope bar or selecting Profiles to activate in portal, will be carried out here.","Shablonet ngarkohen automatikisht në Deponë e Shablloneve. Të gjitha veprimet mbi shpërndarjen e shablloneve si dërgimi i shablloneve bazuar në vendndodhjet e zgjedhura nga shiriti i Fushës ose zgjedhja e Profileve për aktivizim në portal, do të kryhen këtu."
