constant_name,definition
The messaging center will open with the Messages tab activated and will display the logged in user's messages as indicated by the caption My Messages,"Qendra e mesazheve do të hapet me skedën Mesazhet të aktivizuar dhe do të shfaqë mesazhet e përdoruesit të identifikuar siç tregohet nga titulli Mesazhet e Mia"
The minimum information required to create a new encounter is to select a visit category,"Informacioni minimal i nevojshëm për të krijuar një vizitë të re është të zgjidhni një kategori vizite"
The miscellaneous billing options for HCFA-1500 form is used to provide additional information for an individual claim,"Opsionet e ndryshme të faturimit për formularin HCFA-1500 përdoren për të ofruar informacion shtesë për një kërkesë individuale"
The most common method is called 2-Factor Authorization or 2FA,"Metoda më e zakonshme quhet Autorizim me 2 Faktorë ose 2FA"
"The most important issue that needs to be addressed is who you are trying to connect to and what needs to happen at their end. Most major labs will not deal with individuals practices, in such cases a third party vendor will act an an intermediary who will be responsible for setting up a connection between the practice and the lab through their (the intermediary's) interface","Çështja më e rëndësishme që duhet adresuar është me kë po përpiqeni të lidheni dhe çfarë duhet të ndodhë në anën e tyre. Shumica e laboratorëve të mëdhenj nuk do të merren me praktika individuale, në raste të tilla një furnizues i palës së tretë do të veprojë si ndërmjetës i cili do të jetë përgjegjës për vendosjen e një lidhjeje midis praktikës dhe laboratorit përmes ndërfaqes së tyre (ndërmjetësit)"
"The most popular maker of Security Keys is Yubico it offers regular USB versions as well as those made for devices that require USB-C connections, such as Apple's newer Mac OS systems","Prodhuesi më i njohur i Çelësave të Sigurisë është Yubico i cili ofron versione të rregullta USB si dhe ato të bëra për pajisje që kërkojnë lidhje USB-C, si sistemet më të reja Mac OS të Apple"
The most popular open-source Electronic Health Record and Medical Practice Management solution.,Zgjidhja më e njohur me burim të hapur për Regjistrin Elektronik Shëndetësor dhe Menaxhimin e Praktikës Mjekësore.
"The Name cell contains the name, date of birth, patient ID and date of last visit","Qeliza Emri përmban emrin, datën e lindjes, ID-në e pacientit dhe datën e vizitës së fundit"
The Narrative Block contains information that is rendered as readable text,Blloku Narrativ përmban informacion që shfaqet si tekst i lexueshëm
The National Uniform Claim Committee (NUCC) is responsible for the maintenance of the 1500 Claim Form,Komiteti Kombëtar i Unifikuar i Kërkesave (NUCC) është përgjegjës për mirëmbajtjen e Formularit të Kërkesës 1500
The Nav Bar allows one to quickly navigate to various parts of the patient's medical record,Shiriti i Navigimit ju lejon të navigoni shpejt në pjesë të ndryshme të regjistrit mjekësor të pacientit
The new category will be a sub-category of ,Kategoria e re do të jetë një nën-kategori e
The new list,Lista e re
The new password can not be the same as the current password.,Fjalëkalimi i ri nuk mund të jetë i njëjtë me fjalëkalimin aktual.
The new password fields are not the same.,Fushat e fjalëkalimit të ri nuk janë të njëjta.
The new password is the same as the current password. Click Okay to accept anyway.,Fjalëkalimi i ri është i njëjtë me fjalëkalimin aktual. Klikoni Në rregull për ta pranuar gjithsesi.
"The NewCrop eRx Partner Name, NewCrop eRx Name and NewCrop eRx Password will be provided by the vendor","Emri i Partnerit NewCrop eRx, Emri NewCrop eRx dhe Fjalëkalimi NewCrop eRx do të ofrohen nga furnizuesi"
"The next box is Body Site, not relevant for a blood test but may be more useful in say tracking injections or ordering X-rays","Kutia tjetër është Vendi i Trupit, jo relevant për një analizë gjaku por mund të jetë më e dobishme për gjurmimin e injeksioneve ose porositjen e radiografive"
"The next few lines will list all the E/M and CPT codes that were billed, one line per code","Rreshtat e ardhshëm do të listojnë të gjitha kodet E/M dhe CPT që u faturuan, një rresht për kod"
The next group consists of the ICD codes,Grupi tjetër përbëhet nga kodet ICD
The next three cells are the action cells that let you perform some recall activity,Tre qelizat e ardhshme janë qelizat e veprimit që ju lejojnë të kryeni disa aktivitete rikujtimi
The next two boxes denoting the Identifying Code and Standard Code are very important,Dy kutitë e ardhshme që tregojnë Kodin Identifikues dhe Kodin Standard janë shumë të rëndësishme
The Notes cell lets you add a note to an action that you take in the 3 action cells or just a note without any association to the action,Qeliza Shënime ju lejon të shtoni një shënim për një veprim që ndërmerrni në 3 qelizat e veprimit ose thjesht një shënim pa asnjë lidhje me veprimin
The Number of Future Appointments to Display on the Statement.,Numri i Takimeve të Ardhshme për t'u Shfaqur në Pasqyrë.
"The number of staged files is incorrect. Only place the file that you wish to install/upgrade to.","Numri i skedarëve të përgatitur është i pasaktë. Vendosni vetëm skedarin që dëshironi të instaloni/përditësoni."
"The number of staged files is incorrect. Only place the files that you wish to install/upgrade to.","Numri i skedarëve të përgatitur është i pasaktë. Vendosni vetëm skedarët që dëshironi të instaloni/përditësoni."
The Office: Phone cell lets you indicate a phone call was made,Qeliza Zyra: Telefoni ju lejon të tregoni se është bërë një telefonatë
"The option Span Entire Row is useful when using Static Text in allowing text to wrap and span entire row regardless of column settings. Another use could be to create an empty row as spacer or add additional option Add Bottom Border to create a line break.Only Bottom Border Row is useful here.","Opsioni Shtrije Rreshtin e Plotë është i dobishëm kur përdorni Tekst Statik për të lejuar tekstin të mbështillet dhe të shtrihet në të gjithë rreshtin pavarësisht cilësimeve të kolonës. Një përdorim tjetër mund të jetë krijimi i një rreshti bosh si hapësirë ose shtimi i opsionit Shto Kufi Poshtë për të krijuar një ndërprerje rreshti. Vetëm Rreshti me Kufi Poshtë është i dobishëm këtu."
The options for Outline and Border will either wrap a row in thin border or add a border to the bottom of an item.,Opsionet për Kontur dhe Kufi do të mbështjellin një rresht me kufi të hollë ose do të shtojnë një kufi në fund të një elementi.
"The order in which the Category, Procedure or Result appears","Radhitja në të cilën shfaqet Kategoria, Procedura ose Rezultati"
"The other 4 transaction types are simple transaction types - Patient Request, Physician Request, Legal and Billing","4 llojet e tjera të transaksioneve janë lloje të thjeshta transaksionesh - Kërkesa e Pacientit, Kërkesa e Mjekut, Ligjore dhe Faturimi"
The other Segments contain additional information in a strictly structured fashion,Segmentet e tjera përmbajnë informacion shtesë në një format rreptësisht të strukturuar
"The page will be redirected to Demographics. You can edit the country field and clickthrough to NewCrop again.","Faqja do të ridrejtohet te Demografitë. Mund të ndryshoni fushën e vendit dhe të klikoni përsëri te NewCrop."
