constant_name,definition
This feature is very experimental and not fully tested. Use at your own risk!,Kjo veçori është shumë eksperimentale dhe nuk është testuar plotësisht. Përdoreni me rrezikun tuaj!
This feature will allow the default POS facility code to be overridden from the encounter.,Kjo veçori do të lejojë që kodi i paracaktuar i objektit POS të mbivendoset nga vizita.
This feature will allow the default POS facility code to be overriden from the encounter.,Kjo veçori do të lejojë që kodi i paracaktuar i objektit POS të mbivendoset nga vizita.
"This field is used to decide whether to process the message as defined in HL7 Application (level 7) Processing rules","Kjo fushë përdoret për të vendosur nëse mesazhi do të përpunohet siç është përcaktuar në rregullat e përpunimit të Aplikacionit HL7 (niveli 7)"
This form allows you to enter details of a visit or patient interaction,Kjo formë ju lejon të vendosni detajet e një vizite ose ndërveprimi me pacientin
"This fully functional Recall Board included in the default install can be used to add patients to the recall list","Kjo Tabelë Rikujtimi plotësisht funksionale e përfshirë në instalimin e paracaktuar mund të përdoret për të shtuar pacientë në listën e rikujtimit"
This gives you the option to delete any unwanted individual test in the group,Kjo ju jep mundësinë të fshini çdo test individual të padëshiruar në grup
This has to entered once in this form,Kjo duhet të vendoset një herë në këtë formë
This help file is divided into four sections,Ky skedar ndihme është i ndarë në katër seksione
This help file is divided into the following sections,Ky skedar ndihme është i ndarë në seksionet e mëposhtme
"This ICD code can be automatically added to to Problem List by checking the P (Problem) checkbox. This selected item will show up in the Issues section under Medical problems","Ky kod ICD mund të shtohet automatikisht në Listën e Problemeve duke shënuar kutinë P (Problem). Ky element i zgjedhur do të shfaqet në seksionin e Çështjeve nën Problemet Mjekësore"
This invoice number has been changed to ,Ky numër fature është ndryshuar në
This is a child of result,Ky është një fëmijë i rezultatit
This is done in Administration > Users.,Kjo bëhet në Administrim > Përdoruesit.
"This is followed by the Edit and Add columns containing a pencil icon and a + icon","Kjo pasohet nga kolonat Ndrysho dhe Shto që përmbajnë një ikonë lapsi dhe një ikonë +"
This is helpful if visits usually do not have charges.,Kjo është e dobishme nëse vizitat zakonisht nuk kanë tarifa.
This is not a valid request,Kjo nuk është një kërkesë e vlefshme
"This is passed to the application along with checksum value and is unique for each USB key and thereby the user who owns it","Kjo i kalohet aplikacionit së bashku me vlerën e checksum dhe është unike për çdo çelës USB dhe kështu për përdoruesin që e zotëron atë"
This is public information maintained by HHS/CMS. We cannot be responsible for the data received,Ky është informacion publik i mirëmbajtur nga HHS/CMS. Ne nuk mund të jemi përgjegjës për të dhënat e marra
"This is required for both manual lab result entry and for electronic ordering tests and receiving results","Kjo kërkohet si për regjistrimin manual të rezultateve laboratorike ashtu edhe për porositjen elektronike të testeve dhe marrjen e rezultateve"
This is required for your security as well as ours.,Kjo kërkohet për sigurinë tuaj si edhe tonën.
This is the Beginning date for the Ledger Report.,Kjo është data e fillimit për Raportin e Librit të Llogarive.
This is the chart that is to be merged into the main chart and then deleted.,"Ky është kartoni që do të bashkohet në kartonin kryesor dhe pastaj do të fshihet."
"This is the default Beginning date for the Patient Flow Board. (only applicable if Allow Date Range in option above is Enabled)","Kjo është data e paracaktuar e fillimit për Tabelën e Rrjedhës së Pacientit. (e zbatueshme vetëm nëse Lejo Diapazonin e Datave në opsionin e mësipërm është Aktivizuar)"
"This is the default Ending date for the Patient Flow Board. (only applicable if Allow Date Range in option above is Enabled)","Kjo është data e paracaktuar e përfundimit për Tabelën e Rrjedhës së Pacientit. (e zbatueshme vetëm nëse Lejo Diapazonin e Datave në opsionin e mësipërm është Aktivizuar)"
This is the default left print margin for CMS 1500. It will adjust the final printed output left or right.,Kjo është margjina e paracaktuar e majtë e printimit për CMS 1500. Do të rregullojë daljen përfundimtare të printuar majtas ose djathtas.
This is the default left print margin for UB04. It will adjust the final printed output left or right.,Kjo është margjina e paracaktuar e majtë e printimit për UB04. Do të rregullojë daljen përfundimtare të printuar majtas ose djathtas.
This is the default top print margin for CMS 1500. It will adjust the final printed output up or down.,Kjo është margjina e paracaktuar e sipërme e printimit për CMS 1500. Do të rregullojë daljen përfundimtare të printuar lart ose poshtë.
This is the default top print margin for UB04. It will adjust the final printed output up or down.,Kjo është margjina e paracaktuar e sipërme e printimit për UB04. Do të rregullojë daljen përfundimtare të printuar lart ose poshtë.
"This is the Ending date for the Patient Flow Board Date Range. (only applicable if Allow Date Range in option above is Enabled)","Kjo është data e përfundimit për Diapazonin e Datave të Tabelës së Rrjedhës së Pacientit. (e zbatueshme vetëm nëse Lejo Diapazonin e Datave në opsionin e mësipërm është Aktivizuar)"
This is the latest of multiple result values.,Kjo është më e fundit nga vlerat e shumëfishta të rezultateve.
This is the main chart that is to receive the merged data.,Ky është kartoni kryesor që do të marrë të dhënat e bashkuara.
"This is the number of messages that will be displayed in the messages widget in the patient summary screen.","Ky është numri i mesazheve që do të shfaqen në widget-in e mesazheve në ekranin përmbledhës të pacientit."
"This is the recommended method for a non-technical user, if executed carefully will reduce configuration errors","Kjo është metoda e rekomanduar për një përdorues jo-teknik, nëse ekzekutohet me kujdes do të zvogëlojë gabimet e konfigurimit"
This is where the referrals and various other simple transactions are created,Këtu krijohen referimet dhe transaksione të tjera të ndryshme të thjeshta
This item does not have enough data to graph,Ky element nuk ka mjaftueshëm të dhëna për grafik
This item will be displayed on the page on a single line,Ky element do të shfaqet në faqe në një rresht të vetëm
This key is generated by the application and is presented to the user in the form of a QR code,Ky çelës gjenerohet nga aplikacioni dhe i paraqitet përdoruesit në formën e një kodi QR
This key name is already in use by you. Try again.,Ky emër çelësi është tashmë në përdorim nga ju. Provoni përsëri.
This layout does not exist.,Ky plan-vizatim nuk ekziston.
This layout ID already exists,Ky ID i plan-vizatimit ekziston tashmë
"This lets you manually enter the reply to the referral as structured data","Kjo ju lejon të vendosni manualisht përgjigjen ndaj referimit si të dhëna të strukturuara"
"This lets you set the price level for the charges and let you charge different rates for different modes of payment.","Kjo ju lejon të caktoni nivelin e çmimit për tarifat dhe ju lejon të aplikoni tarifa të ndryshme për mënyra të ndryshme pagese."
this location,kjo vendndodhje
This message need not necessarily be linked to a patient,Ky mesazh nuk duhet domosdoshmërisht të lidhet me një pacient
This message text is not saved automatically. Copy and save it as appropriate for the content.,Ky tekst mesazhi nuk ruhet automatikisht. Kopjojeni dhe ruajeni sipas përmbajtjes.
"This method will however result in the data becoming non-structured and one would loose the ability to document the reply in an electronic format","Kjo metodë megjithatë do të rezultojë në të dhëna jo të strukturuara dhe do të humbasë aftësinë për të dokumentuar përgjigjen në format elektronik"
This module is being used by ,Ky modul është duke u përdorur nga
This module is in test mode. The database will not be changed.,Ky modul është në modalitetin e testimit. Baza e të dhënave nuk do të ndryshohet.
