constant_name,definition
Updated Definitions List,Lista e Përkufizimeve të Përditësuara
Updated fields will be purple.,Fushat e përditësuara do të jenë me ngjyrë vjollcë.
Updated!,Përditësuar!
Updates Successful,Përditësimet me Sukses
Updating Access Controls,Përditësimi i Kontrolleve të Aksesit
Updating demographics is not authorized.,Përditësimi i të dhënave demografike nuk është i autorizuar.
Updating global configuration defaults,Përditësimi i parazgjedhjeve të konfigurimit global
Upgrade ACL,Përmirëso ACL
Upgrade SQL,Përmirëso SQL
"Upgrades the OpenEMR database to include Procedures, Functions and tables needed for De-identification process","Përmirëson bazën e të dhënave OpenEMR për të përfshirë Procedurat, Funksionet dhe tabelat e nevojshme për procesin e De-identifikimit"
Upgrading will continue,Përmirësimi do të vazhdojë
UPIN,UPIN
Upload / Save,Ngarko / Ruaj
Upload and Apply,Ngarko dhe Apliko
Upload configuration data,Ngarko të dhënat e konfigurimit
Upload For,Ngarko Për
Upload Image to,Ngarko Imazhin te
"Upload import file:","Ngarko skedarin e importit:"
Upload Item,Ngarko Artikullin
Upload Patient Education PDF to,Ngarko PDF-në Edukative të Pacientit te
Upload processed successfully,Ngarkimi u përpunua me sukses
Upload Template for,Ngarko Shabllonin për
"Upload this file:","Ngarko këtë skedar:"
Uploaded,Ngarkuar
"Upon a successful search you are presented with a list of invoices. You may click on one of the invoice numbers to open a second window, which is the data entry page for manual posting. You may also click on a patient name if you want to enter a note that the front office staff will see when the patient checks in, and you may select invoices to appear on patient statements and print those statements.","Pas një kërkimi të suksesshëm ju paraqitet një listë faturash. Mund të klikoni mbi një nga numrat e faturës për të hapur një dritare të dytë, e cila është faqja e futjes së të dhënave për postimin manual. Gjithashtu mund të klikoni mbi emrin e pacientit nëse dëshironi të vendosni një shënim që stafi i recepcionit do ta shohë kur pacienti regjistrohet, dhe mund të zgjidhni faturat për t'u shfaqur në deklaratat e pacientit dhe t'i printoni ato deklarata."
