constant_name,definition
You must enter a reason to cancel this appointment?,Duhet te vendosni nje arsye per te anuluar kete takim?
"You must enter your own password to change user passwords. Leave blank to keep password unchanged.","Duhet te vendosni fjalekalimin tuaj per te ndryshuar fjalekalimin e perdoruesve. Lini bosh per te mbajtur fjalekalimin te pandryshuar."
You must first select an item in the section whose radio button is checked.,Fillimisht duhet te zgjidhni nje element ne seksionin ku butoni radio eshte i zgjedhur.
You must first select or add a patient or therapy group.,Fillimisht duhet te zgjidhni ose shtoni nje pacient ose grup terapie.
You must first select or add a patient.,Fillimisht duhet te zgjidhni ose shtoni nje pacient.
You must first select or create an encounter.,Fillimisht duhet te zgjidhni ose krijoni nje vizite.
You must provide a patient name or id to add to the list,Duhet te jepni emrin ose ID-ne e pacientit per ta shtuar ne liste
You must select a visit category,Duhet te zgjidhni nje kategori vizite
You must select a visit category.,Duhet te zgjidhni nje kategori vizite.
You must select some fields to continue.,Duhet te zgjidhni disa fusha per te vazhduar.
You need administrator privileges to add more options,Ju nevojiten privilegje administratori per te shtuar me shume opsione
You need administrator privileges to disable the default Recall Board,Ju nevojiten privilegje administratori per te c'aktivizuar Tabelen e Rikujtimeve te parazgjedhur
You need administrator privileges to enable the MedEx Communication Service,Ju nevojiten privilegje administratori per te aktivizuar Sherbimin e Komunikimit MedEx
You need administrator privileges to give access to other groups,Ju nevojiten privilegje administratori per te dhene akses grupeve te tjera
You need administrator privileges to increase the number of reminders to show,Ju nevojiten privilegje administratori per te rritur numrin e kujtesave per t'u shfaqur
You need administrator privileges to perform the changes to the values in the drop-down boxes.,Ju nevojiten privilegje administratori per te kryer ndryshimet ne vlerat e kutive rena.
You need administrator privileges to perform the setup,Ju nevojiten privilegje administratori per te kryer konfigurimin
You need administrator privileges to perform this action,Ju nevojiten privilegje administratori per te kryer kete veprim
You need to go back and and create a provider,Duhet te ktheheni mbrapa dhe te krijoni nje ofrues
"You should be running this test if this claim appeared to generate successfully but the actual claim file does not contain any data or only an unfinished portion of the amount of data it is supposed to contain. It is obvious with HCFA claims because they are human readable, with X12 claims it is a more difficult process to determine if the claim is properly complete.","Duhet ta ekzekutoni kete test nese kjo kerkese dukej se u gjenerua me sukses por skedari aktual i kerkeses nuk permban asnje te dhene ose vetem nje pjese te paperfunduar te sasise se te dhenave qe supozohet te permbaje. Eshte e dukshme me kerkesat HCFA sepse jane te lexueshme nga njerezit, me kerkesat X12 eshte nje proces me i veshtire per te percaktuar nese kerkesa eshte e plote ne menyre te duhur."
"You should not make Discrete Result for Potassium be a descendant of a preceding Discrete Result i.e Sodium , i.e have a Tier value of 5","Nuk duhet ta beni Rezultatin Diskret per Kaliumin pasardhes te nje Rezultati Diskret te meparshem p.sh. Natriumi, p.sh. te kete nje vlere Niveli 5"
You should select at least one context,Duhet te zgjidhni te pakten nje kontekst
You should select at least one Provider,Duhet te zgjidhni te pakten nje Ofrues
"You will be automatically redirected to Demographics. You may make the necessary corrections and navigate to NewCrop again.","Do te ridrejtoheni automatikisht te Demografite. Mund te beni korrigjimet e nevojshme dhe te navigoni perseri te NewCrop."
You will be notified when the payment transaction is confirmed.,Do te njoftoheni kur transaksioni i pageses te konfirmohet.
You will be notified when your payment is applied for this invoice.,Do te njoftoheni kur pagesa juaj te aplikohet per kete fature.
You will need Administrator privileges to edit this form,Ju nevojiten privilegje Administratori per te ndryshuar kete formular
You will need Administrator privileges to enable the patient portal,Ju nevojiten privilegje Administratori per te aktivizuar portalin e pacientit
You will need Administrator Privileges to install the ICD10 code set,Ju nevojiten Privilegje Administratori per te instaluar setin e kodeve ICD10
You will need Administrator privileges to setup phiMail Direct Messaging,Ju nevojiten privilegje Administratori per te konfiguruar Mesazhet Direkte phiMail
"You will need Administrator privileges to setup the NewCrop service and has to be setup in conjunction with technical support from the NewCrop eRx service","Ju nevojiten privilegje Administratori per te konfiguruar sherbimin NewCrop dhe duhet te konfigurohet ne bashkepunim me mbeshtetjen teknike te sherbimit NewCrop eRx"
"Your account has been successfully created however, we were unable to send the account information.","Llogaria juaj u krijua me sukses megjithate, nuk mundëm te dergonim informacionin e llogarise."
Your browser does not support HTML5 audio,Shfletuesi juaj nuk mbeshtet audion HTML5
Your credentials are provided by your provider,Kredencialet tuaja sigurohen nga ofruesi juaj
Your current log on session will expire in 30 seconds.,Sesioni juaj aktual i hyrjes do te skadoje ne 30 sekonda.
Your current TOTP key QR code is displayed below.,Kodi QR i celësit tuaj aktual TOTP shfaqet me poshte.
Your Document History,Historia e Dokumenteve Tuaja
your email address,adresa juaj e emailit
Your email has been verified. Click Next.,Emaili juaj eshte verifikuar. Klikoni Vazhdo.
Your email verification link has expired. Reset and try again.,Lidhja juaj e verifikimit te emailit ka skaduar. Rivendosni dhe provoni perseri.
Your end date is invalid,Data juaj e perfundimit eshte e pavlefshme
Your event has been deleted.,Ngjarja juaj eshte fshire.
